optS0 = -1603.15481741
tdS0  = -1603.06456718
optS1 = -1603.07429304
optR1 = -1603.06798659

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 A52     A(1,19,17)      105.6119      104.9380      102.5720
 A53     A(1,19,18)      110.7051      110.8539      110.7372
 A54     A(1,19,20)      109.7484      110.2639      110.6329
 A55    A(17,19,18)      110.3820      110.7814      110.7329
 A56    A(17,19,20)      110.1760      110.5270      110.6836
 A57    A(18,19,20)      110.1301      109.4163      111.1843
 A58     A(3,30,31)      120.8371      120.8474      120.9385
 A59     A(3,30,32)      121.3494      121.5605      121.4542
 A60    A(31,30,32)      117.8135      117.5919      117.6072
 A61    A(30,31,33)      121.1395      121.1987      121.1945
 A62    A(30,31,36)      119.8521      119.7971      119.8264
 A63    A(33,31,36)      119.0030      119.0036      118.9778
 A64    A(30,32,34)      121.7264      121.8111      121.8095
 A65    A(30,32,37)      119.9521      119.9407      119.9465
 A66    A(34,32,37)      118.3152      118.2463      118.2428
 A67    A(31,33,35)      120.3584      120.3194      120.3305
 A68    A(31,33,38)      121.2003      121.3562      121.3317
 A69    A(35,33,38)      118.4397      118.3244      118.3375
 A70    A(32,34,35)      119.5956      119.5609      119.5617
 A71    A(32,34,39)      119.1766      119.3249      119.2873
 A72    A(35,34,39)      121.2264      121.1140      121.1510
 A73    A(33,35,34)      119.3660      119.5179      119.4965
 A74    A(33,35,50)      116.0130      115.9735      115.9658
 A75    A(34,35,50)      124.6210      124.5086      124.5377
 A76    A(15,40,41)      120.7621      120.8061      120.8992
 A77    A(15,40,42)      121.4232      121.5980      121.4817
 A78    A(41,40,42)      117.8147      117.5957      117.6188
 A79    A(40,41,43)      121.1480      121.1993      121.1937
 A80    A(40,41,46)      119.8043      119.7657      119.8096
 A81    A(43,41,46)      119.0417      119.0337      118.9947
 A82    A(40,42,44)      121.7152      121.8050      121.7974
 A83    A(40,42,47)      119.9685      119.9454      119.9425
 A84    A(44,42,47)      118.3098      118.2480      118.2576
 A85    A(41,43,45)      120.3481      120.3147      120.3232
 A86    A(41,43,48)      121.2057      121.3630      121.3358
 A87    A(45,43,48)      118.4442      118.3222      118.3407
 A88    A(42,44,45)      119.6059      119.5634      119.5630
 A89    A(42,44,49)      119.1758      119.3262      119.2883
 A90    A(45,44,49)      121.2170      121.1103      121.1486
 A91    A(43,45,44)      119.3674      119.5220      119.5036
 A92    A(43,45,55)      116.0234      115.9722      115.9609
 A93    A(44,45,55)      124.6092      124.5058      124.5355
 A94    A(35,50,51)      117.3319      117.7886      117.7462
 A95    A(50,51,52)      106.1338      105.9732      105.9854
 A96    A(50,51,53)      111.1815      110.9744      110.9933
 A97    A(50,51,54)      111.1836      110.9772      110.9875
 A98    A(52,51,53)      109.4760      109.6364      109.6153
 A99    A(52,51,54)      109.4907      109.6349      109.6255
A100    A(53,51,54)      109.3135      109.5788      109.5678
A101    A(45,55,56)      117.3266      117.7943      117.7346
A102    A(55,56,57)      106.1348      105.9706      105.9944
A103    A(55,56,58)      111.1824      110.9744      110.9875
A104    A(55,56,59)      111.1859      110.9732      110.9911
A105    A(57,56,58)      109.4886      109.6332      109.6285
A106    A(57,56,59)      109.4746      109.6364      109.6207
A107    A(58,56,59)      109.3128      109.5867      109.5537
  D1     D(5,1,2,3)        0.0152       -0.7010        0.0533
  D2    D(5,1,2,21)     -178.4334     -178.8316     -179.0232
  D3    D(19,1,2,3)      171.5352      169.6824      179.8551
  D4   D(19,1,2,21)       -6.9133       -8.4482        0.7786
  D5     D(2,1,5,4)        0.4806        1.3152       -0.2420
  D6    D(2,1,5,12)     -179.5849     -177.4283     -173.7463
  D7    D(19,1,5,4)     -171.0345     -168.9867      179.9440
  D8   D(19,1,5,12)        8.9001       12.2698        6.4397
  D9   D(2,1,19,17)      176.5998      168.9202      143.0544
 D10   D(2,1,19,18)       57.1142       49.2777       24.8727
 D11   D(2,1,19,20)      -64.6618      -72.0442      -98.8686
 D12   D(5,1,19,17)      -13.3165      -22.2917      -37.1679
 D13   D(5,1,19,18)     -132.8021     -141.9342     -155.3496
 D14   D(5,1,19,20)      105.4219       96.7439       80.9091
 D15     D(1,2,3,4)       -0.5062       -0.1767        0.1536
 D16    D(1,2,3,30)     -179.9562     -179.6925     -179.6195
 D17    D(21,2,3,4)      177.7727      177.7277      179.1118
 D18   D(21,2,3,30)       -1.6773       -1.7881       -0.6614
 D19     D(2,3,4,5)        0.7810        0.9833       -0.2999
 D20    D(2,3,4,22)     -179.8354     -179.8374      174.7233
 D21    D(30,3,4,5)     -179.7843     -179.5166      179.4664
 D22   D(30,3,4,22)       -0.4007       -0.3373       -5.5103
 D23   D(2,3,30,31)      160.4611      174.6855      175.1413
 D24   D(2,3,30,32)      -19.6091       -5.4772       -4.9900
 D25   D(4,3,30,31)      -18.8654       -4.7219       -4.5813
 D26   D(4,3,30,32)      161.0643      175.1153      175.2874
 D27     D(3,4,5,1)       -0.7941       -1.4075        0.3340
 D28    D(3,4,5,12)      179.2807      177.1386      172.5863
 D29    D(22,4,5,1)      179.8064      179.3948     -174.7338
 D30   D(22,4,5,12)       -0.1188       -2.0591       -2.4815
 D31   D(1,5,12,11)      179.0703     -179.8238     -154.4935
 D32   D(1,5,12,13)       -0.1349        3.6269       29.6774
 D33   D(4,5,12,11)       -1.0126        1.7859       34.0160
 D34   D(4,5,12,13)      179.7822     -174.7634     -141.8131
 D35    D(11,6,7,8)       -0.7448       -0.1318        0.8847
 D36   D(11,6,7,24)      179.1374      179.4041     -179.9096
 D37    D(23,6,7,8)     -179.2060     -178.8718     -176.8677
 D38   D(23,6,7,24)        0.6763        0.6641        2.3381
 D39   D(7,6,11,10)        0.5266        0.4196       -3.3830
 D40   D(7,6,11,12)     -179.7215      179.8258     -179.6236
 D41  D(23,6,11,10)      178.9982      179.1677      174.3325
 D42  D(23,6,11,12)       -1.2499       -1.4261       -1.9082
 D43     D(6,7,8,9)        0.2707       -0.1893        1.7535
 D44    D(6,7,8,25)     -179.6636      179.9727     -179.8278
 D45    D(24,7,8,9)     -179.6109     -179.7227     -177.4448
 D46   D(24,7,8,25)        0.4548        0.4393        0.9740
 D47    D(7,8,9,10)        0.4214        0.2135       -1.7579
 D48    D(7,8,9,26)     -179.3786     -179.1496      177.4593
 D49   D(25,8,9,10)     -179.6442     -179.9484      179.8234
 D50   D(25,8,9,26)        0.5557        0.6885       -0.9595
 D51   D(8,9,10,11)       -0.6372        0.0830       -0.8758
 D52   D(8,9,10,27)     -178.8928     -178.0811      176.8901
 D53  D(26,9,10,11)      179.1639      179.4497      179.8997
 D54  D(26,9,10,27)        0.9083        1.2856       -2.3344
 D55   D(9,10,11,6)        0.1635       -0.3952        3.3786
 D56  D(9,10,11,12)     -179.5875     -179.7956      179.6172
 D57  D(27,10,11,6)      178.4292      177.7742     -174.3507
 D58 D(27,10,11,12)       -1.3217       -1.6262        1.8879
 D59   D(6,11,12,5)      128.3938      134.7430     -179.8699
 D60  D(6,11,12,13)      -52.4007      -48.7658       -4.4318
 D61  D(10,11,12,5)      -51.8569      -45.8689        4.0753
 D62 D(10,11,12,13)      127.3487      130.6224      179.5135
 D63  D(5,12,13,14)      173.0616      168.9193      141.8103
 D64  D(5,12,13,17)       -1.5940       -5.2113      -29.6148
 D65 D(11,12,13,14)       -6.1476       -7.6793      -34.0216
 D66 D(11,12,13,17)      179.1968      178.1901      154.5532
 D67 D(12,13,14,15)     -175.5268     -174.2256     -172.4653
 D68 D(12,13,14,28)        2.0620        2.6316        2.4132
 D69 D(17,13,14,15)       -0.3383        0.4968       -0.2697
 D70 D(17,13,14,28)      177.2506      177.3540      174.6088
 D71 D(12,13,17,16)      175.9957      174.7344      173.6348
 D72 D(12,13,17,19)       -5.3122       -8.9291       -6.5805
 D73 D(14,13,17,16)        0.2321       -0.6330        0.1847
 D74 D(14,13,17,19)      178.9242      175.7035      179.9693
 D75 D(13,14,15,16)        0.3073       -0.1911        0.2521
 D76 D(13,14,15,40)      179.9879      179.5180     -179.5150
 D77 D(28,14,15,16)     -177.2133     -176.9524     -174.5821
 D78 D(28,14,15,40)        2.4673        2.7567        5.6508
 D79 D(14,15,16,17)       -0.1719       -0.2044       -0.1410
 D80 D(14,15,16,29)     -179.6784     -179.4644     -178.9341
 D81 D(40,15,16,17)     -179.8605     -179.9227      179.6325
 D82 D(40,15,16,29)        0.6330        0.8173        0.8394
 D83 D(14,15,40,41)       19.7694        5.2719        6.0576
 D84 D(14,15,40,42)     -160.1092     -174.5886     -173.7299
 D85 D(16,15,40,41)     -160.6115     -175.0729     -173.6657
 D86 D(16,15,40,42)       19.5099        5.0666        6.5468
 D87 D(15,16,17,13)       -0.0379        0.5186       -0.0258
 D88 D(15,16,17,19)     -178.7259     -175.8119     -179.7961
 D89 D(29,16,17,13)      179.5177      179.8590      178.9042
 D90 D(29,16,17,19)        0.8298        3.5285       -0.8662
 D91  D(13,17,19,1)       11.5280       20.5768       37.2375
 D92 D(13,17,19,18)      131.2267      140.2677      155.4223
 D93 D(13,17,19,20)     -106.9255      -98.2820      -80.8036
 D94  D(16,17,19,1)     -170.0063     -163.6901     -143.0200
 D95 D(16,17,19,18)      -50.3076      -43.9992      -24.8352
 D96 D(16,17,19,20)       71.5402       77.4511       98.9389
 D97  D(3,30,31,33)      179.8546      179.8960      179.7377
 D98  D(3,30,31,36)       -1.0033       -0.4080       -0.6848
 D99 D(32,30,31,33)       -0.0775        0.0525       -0.1359
D100 D(32,30,31,36)      179.0645      179.7484      179.4416
D101  D(3,30,32,34)      179.9129     -179.8595     -179.7432
D102  D(3,30,32,37)       -1.0195       -0.3723       -0.1544
D103 D(31,30,32,34)       -0.1553       -0.0171        0.1297
D104 D(31,30,32,37)      178.9122      179.4701      179.7185
D105 D(30,31,33,35)        0.2247       -0.0503        0.0644
D106 D(30,31,33,38)      179.7534      179.8892      179.8782
D107 D(36,31,33,35)     -178.9245     -179.7486     -179.5165
D108 D(36,31,33,38)        0.6042        0.1909        0.2972
D109 D(30,32,34,35)        0.2388       -0.0201       -0.0512
D110 D(30,32,34,39)      179.8253      179.8402      179.8642
D111 D(37,32,34,35)     -178.8435     -179.5157     -179.6468
D112 D(37,32,34,39)        0.7430        0.3446        0.2686
D113 D(31,33,35,34)       -0.1394        0.0115        0.0184
D114 D(31,33,35,50)      179.8529     -179.9468      179.9542
D115 D(38,33,35,34)     -179.6810     -179.9298     -179.8009
D116 D(38,33,35,50)        0.3113        0.1119        0.1350
D117 D(32,34,35,33)       -0.0884        0.0232       -0.0251
D118 D(32,34,35,50)      179.9201      179.9778     -179.9551
D119 D(39,34,35,33)     -179.6661     -179.8345     -179.9390
D120 D(39,34,35,50)        0.3423        0.1200        0.1311
D121 D(33,35,50,51)     -179.7718      179.8954     -179.7144
D122 D(34,35,50,51)        0.2200       -0.0606        0.2178
D123 D(15,40,41,43)     -179.7481     -179.8323     -179.6175
D124 D(15,40,41,46)        1.1534        0.5883        0.8990
D125 D(42,40,41,43)        0.1347        0.0336        0.1780
D126 D(42,40,41,46)     -178.9638     -179.5458     -179.3055
D127 D(15,40,42,44)     -179.9990      179.8269      179.6142
D128 D(15,40,42,47)        0.9423        0.3047        0.1993
D129 D(41,40,42,44)        0.1190       -0.0378       -0.1800
D130 D(41,40,42,47)     -178.9397     -179.5600     -179.5950
D131 D(40,41,43,45)       -0.2679        0.0029       -0.0508
D132 D(40,41,43,48)     -179.7459     -179.8619     -179.8595
D133 D(46,41,43,45)      178.8374      179.5853      179.4369
D134 D(46,41,43,48)       -0.6406       -0.2795       -0.3719
D135 D(40,42,44,45)       -0.2376        0.0054        0.0537
D136 D(40,42,44,49)     -179.8203     -179.8610     -179.7907
D137 D(47,42,44,45)      178.8361      179.5354      179.4781
D138 D(47,42,44,49)       -0.7466       -0.3310       -0.3662
D139 D(41,43,45,44)        0.1459       -0.0363       -0.0811
D140 D(41,43,45,55)     -179.8149      179.9732      179.9655
D141 D(48,43,45,44)      179.6381      179.8325      179.7333
D142 D(48,43,45,55)       -0.3226       -0.1580       -0.2201
D143 D(42,44,45,43)        0.1026        0.0322        0.0797
D144 D(42,44,45,55)     -179.9402     -179.9783     -179.9712
D145 D(49,44,45,43)      179.6766      179.8961      179.9210
D146 D(49,44,45,55)       -0.3663       -0.1144       -0.1299
D147 D(43,45,55,56)      179.6856     -179.9499      179.9148
D148 D(44,45,55,56)       -0.2728        0.0602       -0.0359
D149 D(35,50,51,52)      179.7689     -179.9858      179.7905
D150 D(35,50,51,53)      -61.2629      -61.0336      -61.2651
D151 D(35,50,51,54)       60.7818       61.0622       60.8369
D152 D(45,55,56,57)     -179.7715     -179.9686     -179.9710
D153 D(45,55,56,58)      -60.7870      -61.0218      -61.0085
D154 D(45,55,56,59)       61.2590       61.0813       61.0739
