optS0 = -1603.15490549
tdS0 = -1603.06533117
optS1 = -1603.07442199
optR1 = -1603.06810528

Name     Definition    optS0    optS1    optR1
 A53     A(1,19,18)  1.93219  1.93479  1.93278
 A54     A(1,19,20)  1.91549  1.92446  1.93088
 A55    A(17,19,18)  1.92655  1.93352  1.93270
 A56    A(17,19,20)  1.92295  1.92904  1.93176
 A57    A(18,19,20)  1.92201  1.90958  1.94041
 A58     A(3,30,31)  2.10900  2.10916  2.11076
 A59     A(3,30,32)  2.11795  2.12164  2.11978
 A60    A(31,30,32)  2.05624  2.05238  2.05265
 A61    A(30,31,33)  2.11428  2.11530  2.11523
 A62    A(30,31,36)  2.09184  2.09088  2.09139
 A63    A(33,31,36)  2.07697  2.07699  2.07654
 A64    A(30,32,34)  2.12453  2.12600  2.12597
 A65    A(30,32,37)  2.09358  2.09339  2.09349
 A66    A(34,32,37)  2.06496  2.06376  2.06370
 A67    A(31,33,35)  2.10066  2.09997  2.10017
 A68    A(31,33,38)  2.11532  2.11804  2.11762
 A69    A(35,33,38)  2.06718  2.06517  2.06540
 A70    A(32,34,35)  2.08734  2.08673  2.08674
 A71    A(32,34,39)  2.08002  2.08261  2.08196
 A72    A(35,34,39)  2.11580  2.11384  2.11449
 A73    A(33,35,34)  2.08333  2.08598  2.08561
 A74    A(33,35,50)  2.02482  2.02412  2.02399
 A75    A(34,35,50)  2.17504  2.17308  2.17359
 A76    A(15,40,41)  2.10769  2.10844  2.11007
 A77    A(15,40,42)  2.11924  2.12229  2.12026
 A78    A(41,40,42)  2.05626  2.05245  2.05285
 A79    A(40,41,43)  2.11442  2.11531  2.11521
 A80    A(40,41,46)  2.09101  2.09033  2.09109
 A81    A(43,41,46)  2.07765  2.07752  2.07685
 A82    A(40,42,44)  2.12433  2.12589  2.12576
 A83    A(40,42,47)  2.09387  2.09347  2.09342
 A84    A(44,42,47)  2.06487  2.06379  2.06396
 A85    A(41,43,45)  2.10048  2.09989  2.10004
 A86    A(41,43,48)  2.11541  2.11816  2.11769
 A87    A(45,43,48)  2.06726  2.06513  2.06545
 A88    A(42,44,45)  2.08751  2.08677  2.08676
 A89    A(42,44,49)  2.08001  2.08264  2.08197
 A90    A(45,44,49)  2.11564  2.11377  2.11444
 A91    A(43,45,44)  2.08335  2.08605  2.08574
 A92    A(43,45,55)  2.02500  2.02410  2.02390
 A93    A(44,45,55)  2.17484  2.17303  2.17355
 A94    A(35,50,51)  2.04783  2.05581  2.05507
 A95    A(50,51,52)  1.85238  1.84957  1.84978
 A96    A(50,51,53)  1.94047  1.93685  1.93718
 A97    A(50,51,54)  1.94051  1.93690  1.93708
 A98    A(52,51,53)  1.91073  1.91353  1.91316
 A99    A(52,51,54)  1.91098  1.91350  1.91334
A100    A(53,51,54)  1.90789  1.91253  1.91234
A101    A(45,55,56)  2.04774  2.05590  2.05486
A102    A(55,56,57)  1.85240  1.84953  1.84994
A103    A(55,56,58)  1.94048  1.93685  1.93708
A104    A(55,56,59)  1.94055  1.93683  1.93714
A105    A(57,56,58)  1.91095  1.91347  1.91339
A106    A(57,56,59)  1.91070  1.91353  1.91326
A107    A(58,56,59)  1.90788  1.91267  1.91209
  D1     D(5,1,2,3)  0.00026 -0.01221  0.00096
  D2    D(5,1,2,21) -3.11428 -3.12125 -3.12457
  D3    D(19,1,2,3)  2.99389  2.96162  3.13895
  D4   D(19,1,2,21) -0.12065 -0.14742  0.01342
  D5     D(2,1,5,4)  0.00839  0.02293 -0.00425
  D6    D(2,1,5,12) -3.13440 -3.09674 -3.03262
  D7    D(19,1,5,4) -2.98516 -2.94949  3.14072
  D8   D(19,1,5,12)  0.15524  0.21402  0.11235
  D9   D(2,1,19,17)  3.08238  2.94823  2.49704
 D10   D(2,1,19,18)  0.99690  0.85999  0.43425
 D11   D(2,1,19,20) -1.12837 -1.25737 -1.72530
 D12   D(5,1,19,17) -0.23224 -0.38895 -0.64859
 D13   D(5,1,19,18) -2.31772 -2.47720 -2.71138
 D14   D(5,1,19,20)  1.84020  1.68863  1.41226
 D15     D(1,2,3,4) -0.00883 -0.00310  0.00266
 D16    D(1,2,3,30) -3.14082 -3.13628 -3.13501
 D17    D(21,2,3,4)  3.10276  3.10200  3.12613
 D18   D(21,2,3,30) -0.02923 -0.03119 -0.01154
 D19     D(2,3,4,5)  0.01363  0.01716 -0.00523
 D20    D(2,3,4,22) -3.13870 -3.13880  3.04953
 D21    D(30,3,4,5) -3.13784 -3.13311  3.13233
 D22   D(30,3,4,22) -0.00698 -0.00589 -0.09609
 D23   D(2,3,30,31)  2.80101  3.04907  3.05705
 D24   D(2,3,30,32) -0.34181 -0.09538 -0.08683
 D25   D(4,3,30,31) -0.32883 -0.08224 -0.07975
 D26   D(4,3,30,32)  2.81154  3.05651  3.05955
 D27     D(3,4,5,1) -0.01386 -0.02455  0.00584
 D28    D(3,4,5,12)  3.12910  3.09168  3.01238
 D29    D(22,4,5,1)  3.13819  3.13109 -3.04970
 D30   D(22,4,5,12) -0.00204 -0.03587 -0.04316
 D31   D(1,5,12,11)  3.12536 -3.13850 -2.69651
 D32   D(1,5,12,13) -0.00238  0.06333  0.51787
 D33   D(4,5,12,11) -0.01775  0.03118  0.59342
 D34   D(4,5,12,13)  3.13770 -3.05018 -2.47539
 D35    D(11,6,7,8) -0.01300 -0.00229  0.01543
 D36   D(11,6,7,24)  3.12654  3.13122 -3.14000
 D37    D(23,6,7,8) -3.12773 -3.12194 -3.08696
 D38   D(23,6,7,24)  0.01182  0.01157  0.04080
 D39   D(7,6,11,10)  0.00919  0.00731 -0.05901
 D40   D(7,6,11,12) -3.13673  3.13855 -3.13494
 D41  D(23,6,11,10)  3.12410  3.12711  3.04273
 D42  D(23,6,11,12) -0.02183 -0.02485 -0.03319
 D43     D(6,7,8,9)  0.00473 -0.00331  0.03059
 D44    D(6,7,8,25) -3.13572  3.14111 -3.13857
 D45    D(24,7,8,9) -3.13480 -3.13677 -3.09703
 D46   D(24,7,8,25)  0.00794  0.00765  0.01699
 D47    D(7,8,9,10)  0.00736  0.00372 -0.03067
 D48    D(7,8,9,26) -3.13075 -3.12677  3.09729
 D49   D(25,8,9,10) -3.13538 -3.14070  3.13849
 D50   D(25,8,9,26)  0.00970  0.01200 -0.01673
 D51   D(8,9,10,11) -0.01113  0.00146 -0.01528
 D52   D(8,9,10,27) -3.12226 -3.10814  3.08735
 D53  D(26,9,10,11)  3.12700  3.13201  3.13982
 D54  D(26,9,10,27)  0.01587  0.02241 -0.04073
 D55   D(9,10,11,6)  0.00286 -0.00690  0.05894
 D56  D(9,10,11,12) -3.13439 -3.13803  3.13482
 D57  D(27,10,11,6)  3.11417  3.10279 -3.04305
 D58 D(27,10,11,12) -0.02308 -0.02834  0.03284
 D59   D(6,11,12,5)  2.24104  2.35157 -3.13939
 D60  D(6,11,12,13) -0.91440 -0.85126 -0.07740
 D61  D(10,11,12,5) -0.90493 -0.80069  0.07112
 D62 D(10,11,12,13)  2.22281  2.27965  3.13311
 D63  D(5,12,13,14)  3.02055  2.94832  2.47535
 D64  D(5,12,13,17) -0.02781 -0.09092 -0.51675
 D65 D(11,12,13,14) -0.10725 -0.13390 -0.59350
 D66 D(11,12,13,17)  3.12757  3.11005  2.69758
 D67 D(12,13,14,15) -3.06357 -3.04087 -3.01024
 D68 D(12,13,14,28)  0.03599  0.04592  0.04196
 D69 D(17,13,14,15) -0.00591  0.00869 -0.00471
 D70 D(17,13,14,28)  3.09365  3.09548  3.04750
 D71 D(12,13,17,16)  3.07174  3.04976  3.03064
 D72 D(12,13,17,19) -0.09259 -0.15586 -0.11488
 D73 D(14,13,17,16)  0.00405 -0.01105  0.00323
 D74 D(14,13,17,19)  3.12290  3.06652  3.14090
 D75 D(13,14,15,16)  0.00538 -0.00335  0.00439
 D76 D(13,14,15,40)  3.14141  3.13316 -3.13316
 D77 D(28,14,15,16) -3.09300 -3.08847 -3.04705
 D78 D(28,14,15,40)  0.04303  0.04804  0.09859
 D79 D(14,15,16,17) -0.00301 -0.00355 -0.00244
 D80 D(14,15,16,29) -3.13601 -3.13223 -3.12298
 D81 D(40,15,16,17) -3.13918 -3.14023  3.13522
 D82 D(40,15,16,29)  0.01100  0.01427  0.01469
 D83 D(14,15,40,41)  0.34471  0.09206  0.10585
 D84 D(14,15,40,42) -2.79477 -3.04708 -3.03203
 D85 D(16,15,40,41) -2.80351 -3.05555 -3.03094
 D86 D(16,15,40,42)  0.34019  0.08849  0.11436
 D87 D(15,16,17,13) -0.00066  0.00904 -0.00047
 D88 D(15,16,17,19) -3.11944 -3.06842 -3.13787
 D89 D(29,16,17,13)  3.13320  3.13913  3.12245
 D90 D(29,16,17,19)  0.01442  0.06166 -0.01495
 D91  D(13,17,19,1)  0.20101  0.35909  0.64983
 D92 D(13,17,19,18)  2.29021  2.44818  2.71268
 D93 D(13,17,19,20) -1.86646 -1.71541 -1.41038
 D94  D(16,17,19,1) -2.96727 -2.85707 -2.49645
 D95 D(16,17,19,18) -0.87806 -0.76798 -0.43360
 D96 D(16,17,19,20)  1.24845  1.35162  1.72652
 D97  D(3,30,31,33)  3.13907  3.13977  3.13701
 D98  D(3,30,31,36) -0.01746 -0.00710 -0.01193
 D99 D(32,30,31,33) -0.00134  0.00092 -0.00238
D100 D(32,30,31,36)  3.12531  3.13723  3.13186
D101  D(3,30,32,34)  3.14006 -3.13913 -3.13711
D102  D(3,30,32,37) -0.01778 -0.00648 -0.00267
D103 D(31,30,32,34) -0.00272 -0.00030  0.00227
D104 D(31,30,32,37)  3.12262  3.13235  3.13671
D105 D(30,31,33,35)  0.00391 -0.00088  0.00113
D106 D(30,31,33,38)  3.13730  3.13967  3.13947
D107 D(36,31,33,35) -3.12286 -3.13724 -3.13317
D108 D(36,31,33,38)  0.01053  0.00331  0.00517
D109 D(30,32,34,35)  0.00416 -0.00035 -0.00089
D110 D(30,32,34,39)  3.13854  3.13881  3.13923
D111 D(37,32,34,35) -3.12143 -3.13315 -3.13545
D112 D(37,32,34,39)  0.01295  0.00601  0.00467
D113 D(31,33,35,34) -0.00243  0.00020  0.00032
D114 D(31,33,35,50)  3.13903 -3.14066  3.14079
D115 D(38,33,35,34) -3.13605 -3.14038 -3.13812
D116 D(38,33,35,50)  0.00542  0.00194  0.00235
D117 D(32,34,35,33) -0.00153  0.00041 -0.00044
D118 D(32,34,35,50)  3.14020  3.14120 -3.14081
D119 D(39,34,35,33) -3.13576 -3.13871 -3.14054
D120 D(39,34,35,50)  0.00597  0.00209  0.00228
D121 D(33,35,50,51) -3.13763  3.13974 -3.13661
D122 D(34,35,50,51)  0.00382 -0.00108  0.00379
D123 D(15,40,41,43) -3.13721 -3.13866 -3.13492
D124 D(15,40,41,46)  0.02010  0.01028  0.01569
D125 D(42,40,41,43)  0.00234  0.00059  0.00310
D126 D(42,40,41,46) -3.12353 -3.13366 -3.12947
D127 D(15,40,42,44) -3.14156  3.13856  3.13486
D128 D(15,40,42,47)  0.01644  0.00531  0.00348
D129 D(41,40,42,44)  0.00208 -0.00066 -0.00314
D130 D(41,40,42,47) -3.12310 -3.13391 -3.13452
D131 D(40,41,43,45) -0.00467  0.00005 -0.00088
D132 D(40,41,43,48) -3.13716 -3.13918 -3.13913
D133 D(46,41,43,45)  3.12132  3.13436  3.13176
D134 D(46,41,43,48) -0.01117 -0.00488 -0.00649
D135 D(40,42,44,45) -0.00414  0.00010  0.00094
D136 D(40,42,44,49) -3.13846 -3.13916 -3.13794
D137 D(47,42,44,45)  3.12130  3.13348  3.13248
D138 D(47,42,44,49) -0.01301 -0.00578 -0.00640
D139 D(41,43,45,44)  0.00255 -0.00064 -0.00142
D140 D(41,43,45,55) -3.13836  3.14112  3.14099
D141 D(48,43,45,44)  3.13529  3.13866  3.13693
D142 D(48,43,45,55) -0.00562 -0.00276 -0.00385
D143 D(42,44,45,43)  0.00178  0.00056  0.00139
D144 D(42,44,45,55) -3.14056 -3.14121 -3.14109
D145 D(49,44,45,43)  3.13595  3.13978  3.14021
D146 D(49,44,45,55) -0.00639 -0.00199 -0.00227
D147 D(43,45,55,56)  3.13609 -3.14070  3.14012
D148 D(44,45,55,56) -0.00478  0.00107 -0.00061
D149 D(35,50,51,52)  3.13757 -3.14133  3.13795
D150 D(35,50,51,53) -1.06923 -1.06522 -1.06926
D151 D(35,50,51,54)  1.06085  1.06575  1.06182
D152 D(45,55,56,57) -3.13760 -3.14106 -3.14110
D153 D(45,55,56,58) -1.06092 -1.06504 -1.06481
D154 D(45,55,56,59)  1.06918  1.06606  1.06593
