optS0 = -1603.15244745
tdS0  = -1603.06265916
optS1 = -1603.07084459
optR1 = -1603.06480887

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 A52     A(1,19,17)      105.5119      104.8053      102.4106
 A53     A(1,19,18)      110.6765      110.8240      110.6643
 A54     A(1,19,20)      109.7196      110.2807      110.6754
 A55    A(17,19,18)      110.3576      110.7436      110.6586
 A56    A(17,19,20)      110.1539      110.5528      110.7243
 A57    A(18,19,20)      110.3202      109.5622      111.3797
 A58     A(3,30,31)      120.8497      120.8797      120.9669
 A59     A(3,30,32)      121.3400      121.5520      121.4531
 A60    A(31,30,32)      117.8103      117.5681      117.5799
 A61    A(30,31,33)      121.1496      121.2178      121.2172
 A62    A(30,31,36)      119.8086      119.7605      119.7905
 A63    A(33,31,36)      119.0357      119.0208      118.9908
 A64    A(30,32,34)      121.7226      121.8201      121.8197
 A65    A(30,32,37)      119.9158      119.8949      119.9032
 A66    A(34,32,37)      118.3548      118.2830      118.2757
 A67    A(31,33,35)      120.3477      120.3148      120.3252
 A68    A(31,33,38)      121.2456      121.3897      121.3662
 A69    A(35,33,38)      118.4049      118.2955      118.3083
 A70    A(32,34,35)      119.5971      119.5636      119.5665
 A71    A(32,34,39)      119.1802      119.3231      119.2873
 A72    A(35,34,39)      121.2214      121.1131      121.1462
 A73    A(33,35,34)      119.3721      119.5156      119.4914
 A74    A(33,35,50)      116.0003      115.9650      115.9606
 A75    A(34,35,50)      124.6276      124.5195      124.5479
 A76    A(15,40,41)      120.7788      120.8391      120.9342
 A77    A(15,40,42)      121.4140      121.5896      121.4758
 A78    A(41,40,42)      117.8070      117.5712      117.5897
 A79    A(40,41,43)      121.1613      121.2181      121.2165
 A80    A(40,41,46)      119.7637      119.7291      119.7790
 A81    A(43,41,46)      119.0686      119.0515      119.0026
 A82    A(40,42,44)      121.7140      121.8145      121.8094
 A83    A(40,42,47)      119.9337      119.9003      119.9000
 A84    A(44,42,47)      118.3453      118.2836      118.2881
 A85    A(41,43,45)      120.3375      120.3100      120.3189
 A86    A(41,43,48)      121.2510      121.3977      121.3690
 A87    A(45,43,48)      118.4093      118.2921      118.3119
 A88    A(42,44,45)      119.6077      119.5654      119.5672
 A89    A(42,44,49)      119.1776      119.3256      119.2884
 A90    A(45,44,49)      121.2133      121.1088      121.1443
 A91    A(43,45,44)      119.3717      119.5208      119.4980
 A92    A(43,45,55)      116.0105      115.9636      115.9554
 A93    A(44,45,55)      124.6178      124.5156      124.5466
 A94    A(35,50,51)      117.3239      117.7768      117.7311
 A95    A(50,51,52)      106.1428      105.9880      106.0012
 A96    A(50,51,53)      111.2063      111.0046      111.0237
 A97    A(50,51,54)      111.2064      111.0050      111.0182
 A98    A(52,51,53)      109.4587      109.6141      109.5922
 A99    A(52,51,54)      109.4740      109.6138      109.6037
A100    A(53,51,54)      109.2907      109.5498      109.5362
A101    A(45,55,56)      117.3198      117.7862      117.7223
A102    A(55,56,57)      106.1434      105.9842      106.0088
A103    A(55,56,58)      111.2069      111.0012      111.0172
A104    A(55,56,59)      111.2087      111.0013      111.0212
A105    A(57,56,58)      109.4710      109.6129      109.6060
A106    A(57,56,59)      109.4579      109.6151      109.5974
A107    A(58,56,59)      109.2909      109.5600      109.5254
  D1     D(5,1,2,3)        0.0177       -0.7373        0.0177
  D2    D(5,1,2,21)     -178.3848     -178.7685     -178.9966
  D3    D(19,1,2,3)      171.4632      169.5254     -179.9580
  D4   D(19,1,2,21)       -6.9393       -8.5058        1.0276
  D5     D(2,1,5,4)        0.4829        1.3525       -0.2103
  D6    D(2,1,5,12)     -179.5009     -177.3768     -173.4894
  D7    D(19,1,5,4)     -170.9537     -168.8108      179.7670
  D8   D(19,1,5,12)        9.0624       12.4599        6.4879
  D9   D(2,1,19,17)      176.3869      168.8658      142.6294
 D10   D(2,1,19,18)       57.0048       49.3620       24.6552
 D11   D(2,1,19,20)      -64.9717      -72.1350      -99.3152
 D12   D(5,1,19,17)      -13.6180      -22.4934      -37.3434
 D13   D(5,1,19,18)     -133.0001     -141.9972     -155.3176
 D14   D(5,1,19,20)      105.0234       96.5058       80.7120
 D15     D(1,2,3,4)       -0.5127       -0.1552        0.1787
 D16    D(1,2,3,30)     -179.9693     -179.6089     -179.5304
 D17    D(21,2,3,4)      177.7142      177.6343      179.0650
 D18   D(21,2,3,30)       -1.7424       -1.8195       -0.6440
 D19     D(2,3,4,5)        0.7885        0.9852       -0.3047
 D20    D(2,3,4,22)     -179.8694     -179.7590      174.6735
 D21    D(30,3,4,5)     -179.7703     -179.5782      179.3960
 D22   D(30,3,4,22)       -0.4282       -0.3223       -5.6258
 D23   D(2,3,30,31)      159.7372      174.4188      174.8597
 D24   D(2,3,30,32)      -20.3383       -5.7245       -5.2749
 D25   D(4,3,30,31)      -19.5972       -4.9131       -4.7846
 D26   D(4,3,30,32)      160.3273      174.9436      175.0807
 D27     D(3,4,5,1)       -0.8005       -1.4303        0.3183
 D28    D(3,4,5,12)      179.1811      177.0996      172.3120
 D29    D(22,4,5,1)      179.8406      179.2970     -174.7100
 D30   D(22,4,5,12)       -0.1778       -2.1730       -2.7164
 D31   D(1,5,12,11)      179.0775     -179.8453     -154.3543
 D32   D(1,5,12,13)       -0.1000        3.5992       29.8323
 D33   D(4,5,12,11)       -0.9020        1.7822       34.4385
 D34   D(4,5,12,13)      179.9205     -174.7733     -141.3748
 D35    D(11,6,7,8)       -0.7374       -0.1525        0.8986
 D36   D(11,6,7,24)      179.1373      179.3602     -179.9345
 D37    D(23,6,7,8)     -179.2180     -178.8175     -176.8124
 D38   D(23,6,7,24)        0.6567        0.6952        2.3546
 D39   D(7,6,11,10)        0.5245        0.4359       -3.4302
 D40   D(7,6,11,12)     -179.7264      179.8356     -179.7555
 D41  D(23,6,11,10)      179.0164      179.1104      174.2462
 D42  D(23,6,11,12)       -1.2344       -1.4899       -2.0791
 D43     D(6,7,8,9)        0.2665       -0.1832        1.7745
 D44    D(6,7,8,25)     -179.6684      179.9786     -179.8526
 D45    D(24,7,8,9)     -179.6075     -179.6934     -177.3848
 D46   D(24,7,8,25)        0.4576        0.4684        0.9881
 D47    D(7,8,9,10)        0.4169        0.2260       -1.7791
 D48    D(7,8,9,26)     -179.3775     -179.1165      177.3974
 D49   D(25,8,9,10)     -179.6482     -179.9357      179.8480
 D50   D(25,8,9,26)        0.5574        0.7218       -0.9755
 D51   D(8,9,10,11)       -0.6274        0.0664       -0.8892
 D52   D(8,9,10,27)     -178.9066     -178.0183      176.8337
 D53  D(26,9,10,11)      179.1681      179.4124      179.9267
 D54  D(26,9,10,27)        0.8889        1.3278       -2.3503
 D55   D(9,10,11,6)        0.1569       -0.3928        3.4255
 D56  D(9,10,11,12)     -179.5913     -179.7865      179.7491
 D57  D(27,10,11,6)      178.4472      177.6985     -174.2632
 D58 D(27,10,11,12)       -1.3009       -1.6952        2.0604
 D59   D(6,11,12,5)      128.1834      134.9471     -179.7793
 D60  D(6,11,12,13)      -52.6382      -48.5575       -4.3653
 D61  D(10,11,12,5)      -52.0701      -45.6718        4.0760
 D62 D(10,11,12,13)      127.1083      130.8236      179.4900
 D63  D(5,12,13,14)      172.9702      168.7270      141.3641
 D64  D(5,12,13,17)       -1.6119       -5.2653      -29.7944
 D65 D(11,12,13,14)       -6.2116       -7.8789      -34.4517
 D66 D(11,12,13,17)      179.2064      178.1288      154.3898
 D67 D(12,13,14,15)     -175.4451     -174.1192     -172.2193
 D68 D(12,13,14,28)        2.0579        2.6514        2.6525
 D69 D(17,13,14,15)       -0.3237        0.4796       -0.2676
 D70 D(17,13,14,28)      177.1793      177.2501      174.6042
 D71 D(12,13,17,16)      175.9316      174.6251      173.4024
 D72 D(12,13,17,19)       -5.5109       -8.9438       -6.5762
 D73 D(14,13,17,16)        0.2259       -0.6307        0.1641
 D74 D(14,13,17,19)      178.7834      175.8003     -179.8145
 D75 D(13,14,15,16)        0.2904       -0.1666        0.2677
 D76 D(13,14,15,40)      179.9511      179.5421     -179.4550
 D77 D(28,14,15,16)     -177.1421     -176.8380     -174.5542
 D78 D(28,14,15,40)        2.5186        2.8707        5.7231
 D79 D(14,15,16,17)       -0.1583       -0.2280       -0.1700
 D80 D(14,15,16,29)     -179.6253     -179.4745     -178.9427
 D81 D(40,15,16,17)     -179.8276     -179.9455      179.5602
 D82 D(40,15,16,29)        0.7054        0.8080        0.7875
 D83 D(14,15,40,41)       20.3073        5.2218        5.9351
 D84 D(14,15,40,42)     -159.5593     -174.6546     -173.8550
 D85 D(16,15,40,41)     -160.0973     -175.1238     -173.7353
 D86 D(16,15,40,42)       20.0362        4.9999        6.4745
 D87 D(15,16,17,13)       -0.0426        0.5320        0.0053
 D88 D(15,16,17,19)     -178.5960     -175.8985      179.9826
 D89 D(29,16,17,13)      179.4777      179.8615      178.9188
 D90 D(29,16,17,19)        0.9243        3.4310       -1.1040
 D91  D(13,17,19,1)       11.8469       20.6887       37.3864
 D92 D(13,17,19,18)      131.4401      140.2464      155.3647
 D93 D(13,17,19,20)     -106.5043      -98.1270      -80.6343
 D94  D(16,17,19,1)     -169.8449     -163.4640     -142.5880
 D95 D(16,17,19,18)      -50.2518      -43.9064      -24.6097
 D96 D(16,17,19,20)       71.8039       77.7203       99.3912
 D97  D(3,30,31,33)      179.8315      179.9065      179.7404
 D98  D(3,30,31,36)       -1.0775       -0.4335       -0.7062
 D99 D(32,30,31,33)       -0.0955        0.0443       -0.1300
D100 D(32,30,31,36)      178.9954      179.7042      179.4234
D101  D(3,30,32,34)      179.9250     -179.8730     -179.7459
D102  D(3,30,32,37)       -1.0364       -0.3957       -0.1877
D103 D(31,30,32,34)       -0.1483       -0.0117        0.1238
D104 D(31,30,32,37)      178.8903      179.4656      179.6820
D105 D(30,31,33,35)        0.2379       -0.0442        0.0639
D106 D(30,31,33,38)      179.7342      179.8759      179.8711
D107 D(36,31,33,35)     -178.8599     -179.7066     -179.4930
D108 D(36,31,33,38)        0.6363        0.2134        0.3142
D109 D(30,32,34,35)        0.2476       -0.0206       -0.0507
D110 D(30,32,34,39)      179.8237      179.8379      179.8549
D111 D(37,32,34,35)     -178.8056     -179.5061     -179.6159
D112 D(37,32,34,39)        0.7705        0.3524        0.2897
D113 D(31,33,35,34)       -0.1364        0.0105        0.0134
D114 D(31,33,35,50)      179.8495     -179.9508      179.9541
D115 D(38,33,35,34)     -179.6468     -179.9119     -179.7996
D116 D(38,33,35,50)        0.3392        0.1267        0.1411
D117 D(32,34,35,33)       -0.1021        0.0215       -0.0201
D118 D(32,34,35,50)      179.9133      179.9793     -179.9554
D119 D(39,34,35,33)     -179.6693     -179.8344     -179.9239
D120 D(39,34,35,50)        0.3460        0.1234        0.1408
D121 D(33,35,50,51)     -179.7434      179.9390     -179.7046
D122 D(34,35,50,51)        0.2417       -0.0201        0.2327
D123 D(15,40,41,43)     -179.7253     -179.8481     -179.6165
D124 D(15,40,41,46)        1.2024        0.5726        0.8968
D125 D(42,40,41,43)        0.1459        0.0330        0.1816
D126 D(42,40,41,46)     -178.9263     -179.5462     -179.3052
D127 D(15,40,42,44)      179.9855      179.8469      179.6145
D128 D(15,40,42,47)        0.9579        0.3173        0.1948
D129 D(41,40,42,44)        0.1151       -0.0333       -0.1824
D130 D(41,40,42,47)     -178.9125     -179.5629     -179.6021
D131 D(40,41,43,45)       -0.2763       -0.0028       -0.0561
D132 D(40,41,43,48)     -179.7407     -179.8645     -179.8641
D133 D(46,41,43,45)      178.8022      179.5793      179.4345
D134 D(46,41,43,48)       -0.6622       -0.2824       -0.3734
D135 D(40,42,44,45)       -0.2436        0.0031        0.0566
D136 D(40,42,44,49)     -179.8148     -179.8639     -179.7889
D137 D(47,42,44,45)      178.7989      179.5401      179.4853
D138 D(47,42,44,49)       -0.7723       -0.3269       -0.3602
D139 D(41,43,45,44)        0.1441       -0.0284       -0.0754
D140 D(41,43,45,55)     -179.8153      179.9819      179.9708
D141 D(48,43,45,44)      179.6235      179.8375      179.7383
D142 D(48,43,45,55)       -0.3359       -0.1522       -0.2155
D143 D(42,44,45,43)        0.1115        0.0282        0.0751
D144 D(42,44,45,55)     -179.9329     -179.9830     -179.9753
D145 D(49,44,45,43)      179.6737      179.8927      179.9177
D146 D(49,44,45,55)       -0.3706       -0.1185       -0.1327
D147 D(43,45,55,56)      179.7112     -179.9753      179.8982
D148 D(44,45,55,56)       -0.2458        0.0355       -0.0530
D149 D(35,50,51,52)      179.7571      179.9926      179.7773
D150 D(35,50,51,53)      -61.2766      -61.0567      -61.2802
D151 D(35,50,51,54)       60.7722       61.0422       60.8239
D152 D(45,55,56,57)     -179.7826     -179.9536     -179.9576
D153 D(45,55,56,58)      -60.8008      -61.0085      -60.9975
D154 D(45,55,56,59)       61.2503       61.0986       61.0904
