optS0 = -1603.15496487
tdS0 = -1603.06534051
optS1 = -1603.07462439
optR1 = -1603.06822257

Name     Definition    optS0    optS1    optR1
 A53     A(1,19,18)  1.93217  1.93487  1.93231
 A54     A(1,19,20)  1.91565  1.92435  1.93163
 A55    A(17,19,18)  1.92652  1.93366  1.93231
 A56    A(17,19,20)  1.92309  1.92892  1.93163
 A57    A(18,19,20)  1.92167  1.90939  1.94043
 A58     A(3,30,31)  2.11232  2.11011  2.11209
 A59     A(3,30,32)  2.11467  2.12082  2.11871
 A60    A(31,30,32)  2.05619  2.05226  2.05238
 A61    A(30,31,33)  2.12482  2.12644  2.12628
 A62    A(30,31,36)  2.09011  2.08883  2.08970
 A63    A(33,31,36)  2.06816  2.06791  2.06718
 A64    A(30,32,34)  2.11402  2.11500  2.11514
 A65    A(30,32,37)  2.09525  2.09550  2.09566
 A66    A(34,32,37)  2.07381  2.07265  2.07237
 A67    A(31,33,35)  2.08738  2.08637  2.08668
 A68    A(31,33,38)  2.08041  2.08268  2.08240
 A69    A(35,33,38)  2.11537  2.11414  2.11410
 A70    A(32,34,35)  2.10075  2.10042  2.10039
 A71    A(32,34,39)  2.11476  2.11728  2.11704
 A72    A(35,34,39)  2.06765  2.06549  2.06575
 A73    A(33,35,34)  2.08320  2.08588  2.08549
 A74    A(33,35,50)  2.17446  2.17390  2.17376
 A75    A(34,35,50)  2.02553  2.02341  2.02393
 A76    A(15,40,41)  2.11087  2.10929  2.11205
 A77    A(15,40,42)  2.11601  2.12151  2.11875
 A78    A(41,40,42)  2.05630  2.05238  2.05238
 A79    A(40,41,43)  2.12490  2.12643  2.12629
 A80    A(40,41,46)  2.08923  2.08825  2.08970
 A81    A(43,41,46)  2.06894  2.06848  2.06717
 A82    A(40,42,44)  2.11380  2.11486  2.11513
 A83    A(40,42,47)  2.09544  2.09555  2.09566
 A84    A(44,42,47)  2.07384  2.07275  2.07238
 A85    A(41,43,45)  2.08719  2.08628  2.08668
 A86    A(41,43,48)  2.08047  2.08282  2.08240
 A87    A(45,43,48)  2.11550  2.11408  2.11411
 A88    A(42,44,45)  2.10088  2.10045  2.10040
 A89    A(42,44,49)  2.11479  2.11730  2.11704
 A90    A(45,44,49)  2.06750  2.06544  2.06574
 A91    A(43,45,44)  2.08329  2.08597  2.08549
 A92    A(43,45,55)  2.17453  2.17381  2.17376
 A93    A(44,45,55)  2.02536  2.02340  2.02393
 A94    A(35,50,51)  2.04789  2.05618  2.05498
 A95    A(50,51,52)  1.85231  1.84950  1.84981
 A96    A(50,51,53)  1.94056  1.93668  1.93718
 A97    A(50,51,54)  1.94058  1.93682  1.93701
 A98    A(52,51,53)  1.91073  1.91346  1.91321
 A99    A(52,51,54)  1.91098  1.91361  1.91346
A100    A(53,51,54)  1.90780  1.91281  1.91223
A101    A(45,55,56)  2.04781  2.05624  2.05498
A102    A(55,56,57)  1.85231  1.84945  1.84981
A103    A(55,56,58)  1.94064  1.93684  1.93701
A104    A(55,56,59)  1.94056  1.93663  1.93717
A105    A(57,56,58)  1.91091  1.91365  1.91346
A106    A(57,56,59)  1.91070  1.91346  1.91321
A107    A(58,56,59)  1.90783  1.91284  1.91223
  D1     D(5,1,2,3) -0.00010 -0.01219  0.00117
  D2    D(5,1,2,21) -3.11494 -3.12164 -3.12519
  D3    D(19,1,2,3)  2.99509  2.96156  3.14110
  D4   D(19,1,2,21) -0.11975 -0.14788  0.01474
  D5     D(2,1,5,4)  0.00829  0.02263 -0.00438
  D6    D(2,1,5,12) -3.13480 -3.09779 -3.03158
  D7    D(19,1,5,4) -2.98675 -2.94972  3.13877
  D8   D(19,1,5,12)  0.15334  0.21304  0.11157
  D9   D(2,1,19,17)  3.08448  2.95021  2.49640
 D10   D(2,1,19,18)  0.99897  0.86163  0.43414
 D11   D(2,1,19,20) -1.12596 -1.25547 -1.72563
 D12   D(5,1,19,17) -0.22837 -0.38709 -0.64706
 D13   D(5,1,19,18) -2.31388 -2.47567 -2.70931
 D14   D(5,1,19,20)  1.84438  1.69042  1.41410
 D15     D(1,2,3,4) -0.00815 -0.00282  0.00246
 D16    D(1,2,3,30) -3.13912 -3.13507 -3.13610
 D17    D(21,2,3,4)  3.10376  3.10275  3.12687
 D18   D(21,2,3,30) -0.02721 -0.02950 -0.01169
 D19     D(2,3,4,5)  0.01292  0.01670 -0.00512
 D20    D(2,3,4,22) -3.13957 -3.13863  3.04946
 D21    D(30,3,4,5) -3.13961 -3.13455  3.13335
 D22   D(30,3,4,22) -0.00892 -0.00669 -0.09526
 D23   D(2,3,30,31)  2.79665  3.05205  3.06091
 D24   D(2,3,30,32) -0.34560 -0.09142 -0.08320
 D25   D(4,3,30,31) -0.33193 -0.07810 -0.07697
 D26   D(4,3,30,32)  2.80901  3.06161  3.06210
