optS0 = -1603.15431279
tdS0  = -1603.06429958
optS1 = -1603.07368808
optR1 = -1603.06736286

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 A52     A(1,19,17)      105.5934      104.9192      102.5474
 A53     A(1,19,18)      110.6982      110.8516      110.6941
 A54     A(1,19,20)      109.7481      110.2601      110.6839
 A55    A(17,19,18)      110.3767      110.7800      110.6940
 A56    A(17,19,20)      110.1759      110.5245      110.6839
 A57    A(18,19,20)      110.1590      109.4431      111.2330
 A58     A(3,30,31)      121.0296      120.9077      121.0231
 A59     A(3,30,32)      121.1601      121.5120      121.3907
 A60    A(31,30,32)      117.8103      117.5802      117.5861
 A61    A(30,31,33)      121.7425      121.8373      121.8288
 A62    A(30,31,36)      119.7434      119.6715      119.7219
 A63    A(33,31,36)      118.5081      118.4904      118.4480
 A64    A(30,32,34)      121.1265      121.1858      121.1945
 A65    A(30,32,37)      120.0381      120.0504      120.0595
 A66    A(34,32,37)      118.8292      118.7621      118.7447
 A67    A(31,33,35)      119.5979      119.5415      119.5594
 A68    A(31,33,38)      119.2007      119.3293      119.3133
 A69    A(35,33,38)      121.1998      121.1291      121.1271
 A70    A(32,34,35)      120.3614      120.3432      120.3417
 A71    A(32,34,39)      121.1777      121.3204      121.3066
 A72    A(35,34,39)      118.4596      118.3363      118.3516
 A73    A(33,35,34)      119.3607      119.5120      119.4892
 A74    A(33,35,50)      124.5891      124.5579      124.5506
 A75    A(34,35,50)      116.0502      115.9301      115.9602
 A76    A(15,40,41)      120.9479      120.8614      121.0208
 A77    A(15,40,42)      121.2363      121.5521      121.3930
 A78    A(41,40,42)      117.8157      117.5864      117.5860
 A79    A(40,41,43)      121.7479      121.8372      121.8294
 A80    A(40,41,46)      119.6940      119.6385      119.7218
 A81    A(43,41,46)      118.5515      118.5227      118.4475
 A82    A(40,42,44)      121.1145      121.1780      121.1940
 A83    A(40,42,47)      120.0495      120.0536      120.0598
 A84    A(44,42,47)      118.8297      118.7668      118.7449
