optS0 = -1603.15231614
tdS0  = -1603.06256775
optS1 = -1603.07083328
optR1 = -1603.0647392

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 A52     A(1,19,17)      105.5071      104.8052      102.4096
 A53     A(1,19,18)      110.6778      110.8276      110.6374
 A54     A(1,19,20)      109.7153      110.2684      110.7123
 A55    A(17,19,18)      110.3623      110.7486      110.6373
 A56    A(17,19,20)      110.1487      110.5406      110.7123
 A57    A(18,19,20)      110.3278      109.5770      111.4015
 A58     A(3,30,31)      121.0371      120.9310      121.0506
 A59     A(3,30,32)      121.1539      121.5068      121.3839
 A60    A(31,30,32)      117.8090      117.5621      117.5654
 A61    A(30,31,33)      121.7396      121.8419      121.8354
 A62    A(30,31,36)      119.7099      119.6432      119.6937
 A63    A(33,31,36)      118.5439      118.5139      118.4695
 A64    A(30,32,34)      121.1333      121.2024      121.2129
 A65    A(30,32,37)      120.0041      120.0105      120.0207
 A66    A(34,32,37)      118.8562      118.7853      118.7650
 A67    A(31,33,35)      119.5969      119.5446      119.5629
 A68    A(31,33,38)      119.2073      119.3315      119.3148
 A69    A(35,33,38)      121.1940      121.1238      121.1220
 A70    A(32,34,35)      120.3534      120.3370      120.3363
 A71    A(32,34,39)      121.2113      121.3497      121.3349
 A72    A(35,34,39)      118.4338      118.3132      118.3288
 A73    A(33,35,34)      119.3672      119.5120      119.4868
 A74    A(33,35,50)      124.5952      124.5663      124.5615
 A75    A(34,35,50)      116.0377      115.9217      115.9516
 A76    A(15,40,41)      120.9601      120.8853      121.0481
 A77    A(15,40,42)      121.2290      121.5478      121.3864
 A78    A(41,40,42)      117.8108      117.5669      117.5653
 A79    A(40,41,43)      121.7476      121.8421      121.8360
 A80    A(40,41,46)      119.6628      119.6104      119.6937
 A81    A(43,41,46)      118.5827      118.5458      118.4690
 A82    A(40,42,44)      121.1233      121.1953      121.2124
 A83    A(40,42,47)      120.0166      120.0150      120.0211
 A84    A(44,42,47)      118.8535      118.7881      118.7651
 A85    A(41,43,45)      119.5855      119.5389      119.5624
 A86    A(41,43,48)      119.2118      119.3403      119.3146
 A87    A(45,43,48)      121.2007      121.1206      121.1227
 A88    A(42,44,45)      120.3613      120.3382      120.3367
 A89    A(42,44,49)      121.2119      121.3525      121.3350
 A90    A(45,44,49)      118.4253      118.3091      118.3282
 A91    A(43,45,44)      119.3708      119.5185      119.4868
 A92    A(43,45,55)      124.6004      124.5619      124.5619
 A93    A(44,45,55)      116.0288      115.9197      115.9512
 A94    A(35,50,51)      117.3331      117.7952      117.7269
 A95    A(50,51,52)      106.1410      105.9861      106.0037
 A96    A(50,51,53)      111.2135      110.9966      111.0252
 A97    A(50,51,54)      111.2133      111.0042      111.0153
 A98    A(52,51,53)      109.4558      109.6096      109.5936
 A99    A(52,51,54)      109.4713      109.6171      109.6085
A100    A(53,51,54)      109.2841      109.5611      109.5294
A101    A(45,55,56)      117.3289      117.8024      117.7269
A102    A(55,56,57)      106.1409      105.9819      106.0037
A103    A(55,56,58)      111.2177      111.0014      111.0149
A104    A(55,56,59)      111.2127      110.9911      111.0251
A105    A(57,56,58)      109.4660      109.6221      109.6087
A106    A(57,56,59)      109.4554      109.6110      109.5938
A107    A(58,56,59)      109.2860      109.5670      109.5296
  D1     D(5,1,2,3)       -0.0062       -0.7447        0.0232
