optS0 = -1603.15483332
tdS0  = -1603.06528909
optS1 = -1603.07443537
optR1 = -1603.06804901

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D51   D(8,9,10,11)       -0.6418        0.0788       -0.8671
 D52   D(8,9,10,27)     -178.8912     -178.0927      176.8796
 D53  D(26,9,10,11)      179.1600      179.4483      179.9145
 D54  D(26,9,10,27)        0.9107        1.2768       -2.3387
 D55   D(9,10,11,6)        0.1674       -0.3889        3.3248
 D56  D(9,10,11,12)     -179.5849     -179.7961      179.5575
 D57  D(27,10,11,6)      178.4269      177.7879     -174.3853
 D58 D(27,10,11,12)       -1.3254       -1.6194        1.8474
 D59   D(6,11,12,5)      128.3949      134.6669     -179.6886
 D60  D(6,11,12,13)      -52.3760      -48.7926       -4.2919
 D61  D(10,11,12,5)      -51.8544      -45.9380        4.2629
 D62 D(10,11,12,13)      127.3746      130.6025      179.6596
 D63  D(5,12,13,14)      173.1096      169.0480      141.6691
 D64  D(5,12,13,17)       -1.5545       -5.1197      -29.7386
 D65 D(11,12,13,14)       -6.1230       -7.5973      -34.1248
 D66 D(11,12,13,17)      179.2129      178.2351      154.4675
 D67 D(12,13,14,15)     -175.5647     -174.2757     -172.5128
 D68 D(12,13,14,28)        2.0052        2.5632        2.5542
 D69 D(17,13,14,15)       -0.3688        0.4793       -0.3357
 D70 D(17,13,14,28)      177.2011      177.3183      174.7313
 D71 D(12,13,17,16)      176.0064      174.7669      173.6849
 D72 D(12,13,17,19)       -5.2038       -8.9620       -6.3915
 D73 D(14,13,17,16)        0.2364       -0.6289        0.2504
 D74 D(14,13,17,19)      179.0262      175.6422     -179.8261
 D75 D(13,14,15,16)        0.3504       -0.1675        0.2948
 D76 D(13,14,15,40)     -179.9086      179.6330     -179.5211
 D77 D(28,14,15,16)     -177.1525     -176.9105     -174.7248
 D78 D(28,14,15,40)        2.5885        2.8900        5.4593
 D79 D(14,15,16,17)       -0.2139       -0.2261       -0.1432
 D80 D(14,15,16,29)     -179.7345     -179.4512     -179.1593
 D81 D(40,15,16,17)     -179.9618      179.9669      179.6782
 D82 D(40,15,16,29)        0.5177        0.7418        0.6621
 D83 D(14,15,40,41)       20.2050        5.4642        4.3816
 D84 D(14,15,40,42)     -159.6990     -174.4519     -175.4760
 D85 D(16,15,40,41)     -160.1036     -174.7721     -175.3999
 D86 D(16,15,40,42)       19.9923        5.3117        4.7425
 D87 D(15,16,17,13)       -0.0144        0.5296       -0.0650
 D88 D(15,16,17,19)     -178.8008     -175.7355     -179.9835
 D89 D(29,16,17,13)      179.5539      179.8387      179.0628
 D90 D(29,16,17,19)        0.7674        3.5735       -0.8557
 D91  D(13,17,19,1)       11.3160       20.5219       37.0815
 D92 D(13,17,19,18)      131.0146      140.2275      155.2289
 D93 D(13,17,19,20)     -107.1532      -98.3319      -81.0123
 D94  D(16,17,19,1)     -170.1036     -163.8218     -143.0099
 D95 D(16,17,19,18)      -50.4050      -44.1161      -24.8625
 D96 D(16,17,19,20)       71.4272       77.3245       98.8963
 D97  D(3,30,31,33)      179.8737      179.9691      179.6677
 D98  D(3,30,31,36)       -1.0194       -0.3472       -0.7486
 D99 D(32,30,31,33)       -0.0901        0.0716       -0.1928
D100 D(32,30,31,36)      179.0167      179.7553      179.3909
D101  D(3,30,32,34)      179.8893     -179.9391     -179.6840
D102  D(3,30,32,37)       -1.0171       -0.4112       -0.0938
D103 D(31,30,32,34)       -0.1469       -0.0422        0.1760
D104 D(31,30,32,37)      178.9467      179.4857      179.7661
D105 D(30,31,33,35)        0.2394       -0.0453        0.0689
D106 D(30,31,33,38)      179.7974      179.8745      179.8940
D107 D(36,31,33,35)     -178.8783     -179.7327     -179.5200
D108 D(36,31,33,38)        0.6798        0.1871        0.3051
D109 D(30,32,34,35)        0.2328       -0.0125       -0.0366
D110 D(30,32,34,39)      179.7979      179.8563      179.8451
D111 D(37,32,34,35)     -178.8717     -179.5464     -179.6321
D112 D(37,32,34,39)        0.6935        0.3224        0.2496
D113 D(31,33,35,34)       -0.1517       -0.0117        0.0769
D114 D(31,33,35,50)      179.8363     -179.9804     -179.9750
D115 D(38,33,35,34)     -179.7007     -179.9300     -179.7450
D116 D(38,33,35,50)        0.2874        0.1013        0.2032
D117 D(32,34,35,33)       -0.0801        0.0402       -0.0928
D118 D(32,34,35,50)      179.9309     -179.9884      179.9547
D119 D(39,34,35,33)     -179.6568     -179.8325     -179.9780
D120 D(39,34,35,50)        0.3541        0.1389        0.0695
D121 D(33,35,50,51)        0.0763       -0.0556        0.1801
D122 D(34,35,50,51)     -179.9352      179.9747     -179.8701
D123 D(15,40,41,43)     -179.7477     -179.9132     -179.6706
D124 D(15,40,41,46)        1.1937        0.5627        0.7429
D125 D(42,40,41,43)        0.1595        0.0062        0.1923
D126 D(42,40,41,46)     -178.8991     -179.5179     -179.3942
D127 D(15,40,42,44)     -179.9925      179.9015      179.6872
D128 D(15,40,42,47)        0.9247        0.3721        0.0939
D129 D(41,40,42,44)        0.1005       -0.0173       -0.1751
D130 D(41,40,42,47)     -178.9823     -179.5467     -179.7684
D131 D(40,41,43,45)       -0.2825        0.0092       -0.0693
D132 D(40,41,43,48)     -179.7872     -179.8464     -179.8952
D133 D(46,41,43,45)      178.7867      179.5385      179.5223
D134 D(46,41,43,48)       -0.7181       -0.3171       -0.3036
D135 D(40,42,44,45)       -0.2351        0.0128        0.0364
D136 D(40,42,44,49)     -179.7962     -179.8610     -179.8466
D137 D(47,42,44,45)      178.8587      179.5483      179.6349
D138 D(47,42,44,49)       -0.7023       -0.3255       -0.2481
D139 D(41,43,45,44)        0.1440       -0.0139       -0.0759
D140 D(41,43,45,55)     -179.8143     -179.9841      179.9758
D141 D(48,43,45,44)      179.6385      179.8391      179.7468
D142 D(48,43,45,55)       -0.3198       -0.1312       -0.2016
D143 D(42,44,45,43)        0.1101        0.0030        0.0921
D144 D(42,44,45,55)     -179.9281      179.9758     -179.9552
D145 D(49,44,45,43)      179.6829      179.8805      179.9785
D146 D(49,44,45,55)       -0.3553       -0.1467       -0.0688
D147 D(43,45,55,56)        0.0190       -0.0161       -0.1817
D148 D(44,45,55,56)     -179.9406     -179.9873      179.8683
D149 D(35,50,51,52)      179.8796      179.9786      179.8717
D150 D(35,50,51,53)      -61.1521      -61.0816      -61.1800
D151 D(35,50,51,54)       60.8926       61.0245       60.9111
D152 D(45,55,56,57)     -179.8901     -179.9704     -179.8703
D153 D(45,55,56,58)      -60.9061      -61.0143      -60.9098
D154 D(45,55,56,59)       61.1431       61.0933       61.1812
