optS0 = -1374.17495016
tdS0 = -1374.07973061
optS1 = -1374.08901783
optR1 = -1374.0834649

Name     Definition    optS0    optS1    optR1
 A60    A(31,30,32)  2.06959  2.06596  2.06632
 A61    A(30,31,33)  2.10643  2.10698  2.10715
 A62    A(30,31,36)  2.08918  2.08991  2.09044
 A63    A(33,31,36)  2.08744  2.08627  2.08556
 A64    A(30,32,34)  2.10625  2.10686  2.10677
 A65    A(30,32,37)  2.09233  2.09513  2.09459
 A66    A(34,32,37)  2.08450  2.08116  2.08179
 A67    A(31,33,35)  2.09918  2.09896  2.09890
 A68    A(31,33,38)  2.08768  2.08878  2.08853
 A69    A(35,33,38)  2.09631  2.09544  2.09575
 A70    A(32,34,35)  2.09915  2.09894  2.09908
 A71    A(32,34,39)  2.08737  2.08816  2.08794
 A72    A(35,34,39)  2.09664  2.09609  2.09616
 A73    A(33,35,34)  2.08576  2.08867  2.08816
 A74    A(33,35,40)  2.09871  2.09733  2.09761
 A75    A(34,35,40)  2.09872  2.09718  2.09742
 A76    A(15,41,42)  2.10362  2.10331  2.11255
 A77    A(15,41,43)  2.10964  2.11361  2.10438
 A78    A(42,41,43)  2.06992  2.06627  2.06625
 A79    A(41,42,44)  2.10633  2.10672  2.10686
 A80    A(41,42,47)  2.08832  2.08946  2.09460
 A81    A(44,42,47)  2.08840  2.08697  2.08169
 A82    A(41,43,45)  2.10599  2.10679  2.10713
 A83    A(41,43,48)  2.09217  2.09458  2.09062
 A84    A(45,43,48)  2.08490  2.08178  2.08540
 A85    A(42,44,46)  2.09895  2.09896  2.09904
 A86    A(42,44,49)  2.08794  2.08891  2.08798
 A87    A(46,44,49)  2.09627  2.09532  2.09617
 A88    A(43,45,46)  2.09913  2.09879  2.09896
 A89    A(43,45,50)  2.08751  2.08830  2.08848
 A90    A(46,45,50)  2.09653  2.09610  2.09574
 A91    A(44,46,45)  2.08604  2.08884  2.08813
 A92    A(44,46,51)  2.09860  2.09728  2.09745
 A93    A(45,46,51)  2.09855  2.09707  2.09760
  D1     D(5,1,2,3) -0.00192 -0.01363 -0.00031
  D2    D(5,1,2,21) -3.11397 -3.11928 -3.12519
  D3    D(19,1,2,3)  3.00081  2.95486 -3.13469
  D4   D(19,1,2,21) -0.11124 -0.15079  0.02360
  D5     D(2,1,5,4)  0.01017  0.02412 -0.00600
  D6    D(2,1,5,12) -3.13919 -3.09200 -3.03376
  D7    D(19,1,5,4) -2.99205 -2.94352  3.12888
  D8   D(19,1,5,12)  0.14177  0.22355  0.10112
  D9   D(2,1,19,17)  3.09859  2.92867  2.47808
 D10   D(2,1,19,18)  1.01513  0.84305  0.41883
 D11   D(2,1,19,20) -1.11134 -1.28246 -1.74957
 D12   D(5,1,19,17) -0.20566 -0.41451 -0.65544
 D13   D(5,1,19,18) -2.28912 -2.50013 -2.71470
 D14   D(5,1,19,20)  1.86759  1.65755  1.40009
 D15     D(1,2,3,4) -0.00713 -0.00202  0.00643
 D16    D(1,2,3,30) -3.13611 -3.13097 -3.13015
 D17    D(21,2,3,4)  3.10171  3.09932  3.12921
 D18   D(21,2,3,30) -0.02727 -0.02963 -0.00737
 D19     D(2,3,4,5)  0.01307  0.01685 -0.00998
 D20    D(2,3,4,22) -3.13901 -3.14087  3.05203
 D21    D(30,3,4,5) -3.14150 -3.13785  3.12645
 D22   D(30,3,4,22) -0.01040 -0.01238 -0.09473
 D23   D(2,3,30,31)  2.76996  3.02482  3.02510
 D24   D(2,3,30,32) -0.37060 -0.11859 -0.12030
 D25   D(4,3,30,31) -0.35619 -0.10128 -0.11036
 D26   D(4,3,30,32)  2.78642  3.03850  3.02742
 D27     D(3,4,5,1) -0.01456 -0.02506  0.00992
 D28    D(3,4,5,12)  3.13589  3.08709  3.01625
 D29    D(22,4,5,1)  3.13727  3.13226 -3.05323
 D30   D(22,4,5,12)  0.00453 -0.03877 -0.04690
 D31   D(1,5,12,11)  3.12389 -3.12890 -2.68420
 D32   D(1,5,12,13) -0.00640  0.07458  0.54773
 D33   D(4,5,12,11) -0.02753  0.04530  0.60601
 D34   D(4,5,12,13)  3.12536 -3.03441 -2.44525
 D35    D(11,6,7,8) -0.01301 -0.00317  0.01453
 D36   D(11,6,7,24)  3.12661  3.13055 -3.14020
 D37    D(23,6,7,8) -3.12676 -3.12247 -3.08969
 D38   D(23,6,7,24)  0.01287  0.01125  0.03877
 D39   D(7,6,11,10)  0.00843  0.00862 -0.05621
 D40   D(7,6,11,12) -3.13793  3.14063 -3.13485
 D41  D(23,6,11,10)  3.12236  3.12806  3.04744
 D42  D(23,6,11,12) -0.02401 -0.02311 -0.03120
 D43     D(6,7,8,9)  0.00529 -0.00350  0.02931
 D44    D(6,7,8,25) -3.13517  3.14111 -3.13894
 D45    D(24,7,8,9) -3.13433 -3.13718 -3.09904
 D46   D(24,7,8,25)  0.00841  0.00743  0.01591
 D47    D(7,8,9,10)  0.00703  0.00455 -0.02936
 D48    D(7,8,9,26) -3.13090 -3.12662  3.09881
 D49   D(25,8,9,10) -3.13570 -3.14006  3.13888
 D50   D(25,8,9,26)  0.00955  0.01196 -0.01613
 D51   D(8,9,10,11) -0.01157  0.00106 -0.01442
 D52   D(8,9,10,27) -3.12202 -3.10783  3.08982
 D53  D(26,9,10,11)  3.12638  3.13229  3.14048
 D54  D(26,9,10,27)  0.01593  0.02339 -0.03846
 D55   D(9,10,11,6)  0.00385 -0.00757  0.05616
 D56  D(9,10,11,12) -3.13296 -3.13947  3.13480
 D57  D(27,10,11,6)  3.11447  3.10140 -3.04752
 D58 D(27,10,11,12) -0.02234 -0.03051  0.03113
 D59   D(6,11,12,5)  2.24063  2.34263 -3.12309
 D60  D(6,11,12,13) -0.91227 -0.86199 -0.08116
 D61  D(10,11,12,5) -0.90578 -0.80882  0.08431
 D62 D(10,11,12,13)  2.22451  2.26975  3.12624
 D63  D(5,12,13,14)  3.03108  2.93606  2.44509
 D64  D(5,12,13,17) -0.02437 -0.10176 -0.54848
 D65 D(11,12,13,14) -0.09927 -0.14462 -0.60614
 D66 D(11,12,13,17)  3.12848  3.10075  2.68347
 D67 D(12,13,14,15) -3.06968 -3.03836 -3.01694
 D68 D(12,13,14,28)  0.02856  0.04662  0.04662
 D69 D(17,13,14,15) -0.00561  0.01003 -0.01008
 D70 D(17,13,14,28)  3.09263  3.09500  3.05348
 D71 D(12,13,17,16)  3.07597  3.04677  3.03450
 D72 D(12,13,17,19) -0.07776 -0.16635 -0.09951
 D73 D(14,13,17,16)  0.00276 -0.01273  0.00624
 D74 D(14,13,17,19)  3.13221  3.05734 -3.12777
 D75 D(13,14,15,16)  0.00612 -0.00390  0.01000
 D76 D(13,14,15,41) -3.14091  3.13446 -3.12660
 D77 D(28,14,15,16) -3.09093 -3.08701 -3.05243
 D78 D(28,14,15,41)  0.04522  0.05135  0.09415
 D79 D(14,15,16,17) -0.00462 -0.00406 -0.00630
 D80 D(14,15,16,29) -3.13548 -3.12878 -3.12979
 D81 D(41,15,16,17) -3.14090  3.14065  3.13045
 D82 D(41,15,16,29)  0.01142  0.01593  0.00696
 D83 D(14,15,41,42)  0.38473  0.11044 -3.03379
 D84 D(14,15,41,43) -2.75567 -3.02920  0.10418
 D85 D(16,15,41,42) -2.76334 -3.03497  0.11371
 D86 D(16,15,41,43)  0.37944  0.10857 -3.03150
 D87 D(15,16,17,13)  0.00115  0.01039  0.00008
 D88 D(15,16,17,19) -3.12830 -3.05920  3.13353
 D89 D(29,16,17,13)  3.13307  3.13691  3.12560
 D90 D(29,16,17,19)  0.00362  0.06732 -0.02413
 D91  D(13,17,19,1)  0.17374  0.38493  0.65465
 D92 D(13,17,19,18)  2.26086  2.47090  2.71392
