optS0 = -1374.17529664
tdS0 = -1374.07982076
optS1 = -1374.08956293
optR1 = -1374.08395063

Name     Definition     optS0     optS1     optR1
 A60    A(31,30,32)  118.5804  118.3752  118.3966
 A61    A(30,31,33)  120.6885  120.7184  120.7274
 A62    A(30,31,36)  119.7069  119.7489  119.7785
 A63    A(33,31,36)  119.5972  119.5313  119.4919
 A64    A(30,32,34)  120.6780  120.7118  120.7053
 A65    A(30,32,37)  119.8869  120.0495  120.0177
 A66    A(34,32,37)  119.4287  119.2366  119.2749
 A67    A(31,33,35)  120.2747  120.2614  120.2577
 A68    A(31,33,38)  119.6136  119.6774  119.6634
 A69    A(35,33,38)  120.1104  120.0611  120.0787
 A70    A(32,34,35)  120.2725  120.2601  120.2683
 A71    A(32,34,39)  119.5971  119.6418  119.6298
 A72    A(35,34,39)  120.1292  120.0979  120.1019
 A73    A(33,35,34)  119.5051  119.6731  119.6446
 A74    A(33,35,40)  120.2470  120.1676  120.1832
 A75    A(34,35,40)  120.2479  120.1593  120.1722
 A76    A(15,41,42)  120.5262  120.5070  121.0401
 A77    A(15,41,43)  120.8735  121.0998  120.5672
 A78    A(42,41,43)  118.6003  118.3931  118.3924
 A79    A(41,42,44)  120.6818  120.7033  120.7111
 A80    A(41,42,47)  119.6575  119.7230  120.0184
 A81    A(44,42,47)  119.6533  119.5717  119.2687
 A82    A(41,43,45)  120.6629  120.7077  120.7265
 A83    A(41,43,48)  119.8767  120.0168  119.7893
 A84    A(45,43,48)  119.4527  119.2734  119.4822
 A85    A(42,44,46)  120.2613  120.2614  120.2657
 A86    A(42,44,49)  119.6285  119.6849  119.6319
 A87    A(46,44,49)  120.1086  120.0536  120.1023
 A88    A(43,45,46)  120.2711  120.2515  120.2613
 A89    A(43,45,50)  119.6051  119.6502  119.6607
 A90    A(46,45,50)  120.1227  120.0983  120.0778
 A91    A(44,46,45)  119.5217  119.6831  119.6428
 A92    A(44,46,51)  120.2406  120.1644  120.1744
 A93    A(45,46,51)  120.2377  120.1526  120.1827
  D1     D(5,1,2,3)   -0.1098   -0.7733   -0.0110
  D2    D(5,1,2,21) -178.4224 -178.7418 -179.0606
  D3    D(19,1,2,3)  171.9294  169.3454 -179.6409
  D4   D(19,1,2,21)   -6.3832   -8.6230    1.3095
  D5     D(2,1,5,4)    0.5823    1.3692   -0.3492
  D6    D(2,1,5,12) -179.8723 -177.1886 -173.8640
  D7    D(19,1,5,4) -171.4291 -168.7020  179.3060
  D8   D(19,1,5,12)    8.1164   12.7402    5.7912
  D9   D(2,1,19,17)  177.5552  167.8706  142.0679
 D10   D(2,1,19,18)   58.1609   48.3484   24.0465
 D11   D(2,1,19,20)  -63.6412  -73.3989 -100.1522
 D12   D(5,1,19,17)  -11.7691  -23.6369  -37.5178
 D13   D(5,1,19,18) -131.1633 -143.1591 -155.5392
 D14   D(5,1,19,20)  107.0346   95.0936   80.2621
 D15     D(1,2,3,4)   -0.4078   -0.1158    0.3635
 D16    D(1,2,3,30) -179.6817 -179.4018 -179.3580
 D17    D(21,2,3,4)  177.7213  177.6099  179.2933
 D18   D(21,2,3,30)   -1.5526   -1.6762   -0.4281
 D19     D(2,3,4,5)    0.7483    0.9571   -0.5703
 D20    D(2,3,4,22) -179.8480 -179.9627  174.8724
 D21    D(30,3,4,5) -179.9989 -179.7828  179.1426
 D22   D(30,3,4,22)   -0.5952   -0.7025   -5.4147
 D23   D(2,3,30,31)  158.7868  173.4167  173.3332
 D24   D(2,3,30,32)  -21.1517   -6.6853   -6.8834
 D25   D(4,3,30,31)  -20.3244   -5.7085   -6.3264
 D26   D(4,3,30,32)  159.7371  174.1895  173.4570
 D27     D(3,4,5,1)   -0.8334   -1.4233    0.5710
 D28    D(3,4,5,12)  179.6849  176.9103  172.8637
 D29    D(22,4,5,1)  179.7481  179.4740 -174.9363
 D30   D(22,4,5,12)    0.2664   -2.1924   -2.6436
 D31   D(1,5,12,11)  178.9840 -179.2820 -153.8287
 D32   D(1,5,12,13)   -0.3707    4.2527   31.3453
 D33   D(4,5,12,11)   -1.5911    2.5636   34.6399
 D34   D(4,5,12,13)  179.0542 -173.9017 -140.1862
 D35    D(11,6,7,8)   -0.7476   -0.1767    0.8314
 D36   D(11,6,7,24)  179.1415  179.3764 -179.9143
 D37    D(23,6,7,8) -179.1481 -178.9120 -177.0341
 D38   D(23,6,7,24)    0.7411    0.6411    2.2202
 D39   D(7,6,11,10)    0.4839    0.4884   -3.2160
 D40   D(7,6,11,12) -179.7893  179.9412 -179.5922
 D41  D(23,6,11,10)  178.8947  179.2315  174.6165
 D42  D(23,6,11,12)   -1.3785   -1.3158   -1.7597
 D43     D(6,7,8,9)    0.3040   -0.2006    1.6764
 D44    D(6,7,8,25) -179.6307  179.9713 -179.8437
 D45    D(24,7,8,9) -179.5845 -179.7513 -177.5712
 D46   D(24,7,8,25)    0.4808    0.4207    0.9088
 D47    D(7,8,9,10)    0.4038    0.2567   -1.6796
 D48    D(7,8,9,26) -179.3877 -179.1495  177.5579
 D49   D(25,8,9,10) -179.6615 -179.9152  179.8405
 D50   D(25,8,9,26)    0.5471    0.6786   -0.9220
 D51   D(8,9,10,11)   -0.6653    0.0639   -0.8249
 D52   D(8,9,10,27) -178.8761 -178.0787  177.0417
 D53  D(26,9,10,11)  179.1273  179.4735  179.9307
 D54  D(26,9,10,27)    0.9165    1.3309   -2.2026
 D55   D(9,10,11,6)    0.2216   -0.4320    3.2127
 D56  D(9,10,11,12) -179.5043 -179.8787  179.5893
 D57  D(27,10,11,6)  178.4424  177.7145 -174.6209
 D58 D(27,10,11,12)   -1.2835   -1.7321    1.7557
 D59   D(6,11,12,5)  128.4148  134.1706 -178.9479
 D60  D(6,11,12,13)  -52.2309  -49.4289   -4.6549
 D61  D(10,11,12,5)  -51.8610  -46.3923    4.8403
 D62 D(10,11,12,13)  127.4933  130.0082  179.1334
 D63  D(5,12,13,14)  173.6728  168.3039  140.1755
 D64  D(5,12,13,17)   -1.3957   -5.7914  -31.3914
 D65 D(11,12,13,14)   -5.6848   -8.2163  -34.6492
 D66 D(11,12,13,17)  179.2466  177.6884  153.7838
 D67 D(12,13,14,15) -175.8858 -174.1253 -172.9056
 D68 D(12,13,14,28)    1.6416    2.6578    2.6294
 D69 D(17,13,14,15)   -0.3235    0.5710   -0.5814
 D70 D(17,13,14,28)  177.2039  177.3541  174.9536
 D71 D(12,13,17,16)  176.2447  174.6042  173.9090
 D72 D(12,13,17,19)   -4.4415   -9.5031   -5.6928
 D73 D(14,13,17,16)    0.1588   -0.7247    0.3645
 D74 D(14,13,17,19)  179.4725  175.1680 -179.2373
 D75 D(13,14,15,16)    0.3530   -0.2224    0.5725
 D76 D(13,14,15,41) -179.9575  179.5893 -179.1538
 D77 D(28,14,15,16) -177.1065 -176.8995 -174.8987
 D78 D(28,14,15,41)    2.5830    2.9121    5.3750
 D79 D(14,15,16,17)   -0.2661   -0.2308   -0.3559
 D80 D(14,15,16,29) -179.6566 -179.2737 -179.3313
 D81 D(41,15,16,17) -179.9636  179.9507  179.3785
 D82 D(41,15,16,29)    0.6459    0.9079    0.4032
 D83 D(14,15,41,42)   21.9907    6.2910 -173.8616
 D84 D(14,15,41,43) -157.9418 -173.5976    5.9329
 D85 D(16,15,41,42) -158.3790 -173.9316    6.4630
 D86 D(16,15,41,43)   21.6885    6.1798 -173.7425
 D87 D(15,16,17,13)    0.0666    0.5913   -0.0032
 D88 D(15,16,17,19) -179.2468 -175.2736  179.5695
 D89 D(29,16,17,13)  179.5170  179.7359  179.0869
 D90 D(29,16,17,19)    0.2036    3.8709   -1.3403
 D91  D(13,17,19,1)    9.9367   21.9632   37.4690
 D92 D(13,17,19,18)  129.5404  141.5051  155.4916
 D93 D(13,17,19,20) -108.5647  -96.5755  -80.3110
 D94  D(16,17,19,1) -170.8673 -162.8370 -142.0526
 D95 D(16,17,19,18)  -51.2637  -43.2951  -24.0300
 D96 D(16,17,19,20)   70.6313   78.6242  100.1674
 D97  D(3,30,31,33) -179.9928  179.9517  179.6134
 D98  D(3,30,31,36)   -0.9880   -0.4782   -0.9275
 D99 D(32,30,31,33)   -0.0530    0.0509   -0.1756
D100 D(32,30,31,36)  178.9518  179.6210  179.2835
D101  D(3,30,32,34)  179.7165 -179.9366 -179.6334
D102  D(3,30,32,37)   -1.2097   -0.4662   -0.1637
D103 D(31,30,32,34)   -0.2232   -0.0365    0.1545
D104 D(31,30,32,37)  178.8506  179.4339  179.6242
D105 D(30,31,33,35)    0.2422   -0.0353    0.0855
D106 D(30,31,33,38)  179.8320  179.8852  179.9156
D107 D(36,31,33,35) -178.7637 -179.6063 -179.3752
D108 D(36,31,33,38)    0.8261    0.3142    0.4549
D109 D(30,32,34,35)    0.3119    0.0064   -0.0432
D110 D(30,32,34,39)  179.9079  179.8631  179.8498
D111 D(37,32,34,35) -178.7661 -179.4683 -179.5168
D112 D(37,32,34,39)    0.8299    0.3884    0.3762
D113 D(31,33,35,34)   -0.1547    0.0041    0.0297
D114 D(31,33,35,40)  179.8291 -179.9729  179.9604
D115 D(38,33,35,34) -179.7424 -179.9161 -179.7997
D116 D(38,33,35,40)    0.2414    0.1068    0.1310
D117 D(32,34,35,33)   -0.1205    0.0102   -0.0507
D118 D(32,34,35,40)  179.8957  179.9873 -179.9815
D119 D(39,34,35,33) -179.7143 -179.8458 -179.9432
D120 D(39,34,35,40)    0.3018    0.1313    0.1261
D121 D(15,41,42,44) -179.7437 -179.8774  179.6737
D122 D(15,41,42,47)    1.2554    0.6406    0.1725
D123 D(43,41,42,44)    0.1903    0.0141   -0.1252
D124 D(43,41,42,47) -178.8105 -179.4679 -179.6264
D125 D(15,41,43,45) -179.9588  179.8862 -179.6502
D126 D(15,41,43,48)    1.0581    0.4164    0.8643
D127 D(42,41,43,45)    0.1074   -0.0047    0.1497
D128 D(42,41,43,48) -178.8757 -179.4745 -179.3358
D129 D(41,42,44,46)   -0.3252   -0.0111    0.0307
D130 D(41,42,44,49) -179.8666 -179.8732 -179.8669
D131 D(47,42,44,46)  178.6757  179.4717  179.5356
D132 D(47,42,44,49)   -0.8658   -0.3904   -0.3620
D133 D(41,43,45,46)   -0.2721   -0.0079   -0.0797
D134 D(41,43,45,50) -179.8778 -179.8811 -179.9136
D135 D(48,43,45,46)  178.7153  179.4658  179.4074
D136 D(48,43,45,50)   -0.8905   -0.4073   -0.4265
D137 D(42,44,46,45)    0.1590   -0.0017    0.0424
D138 D(42,44,46,51) -179.8037 -179.9751  179.9777
D139 D(49,44,46,45)  179.6982  179.8599  179.9395
D140 D(49,44,46,51)   -0.2645   -0.1135   -0.1252
D141 D(43,45,46,44)    0.1377    0.0111   -0.0180
D142 D(43,45,46,51) -179.8996  179.9845 -179.9533
D143 D(50,45,46,44)  179.7414  179.8837  179.8151
D144 D(50,45,46,51)   -0.2959   -0.1429   -0.1202
