optS0 = -1374.1754753
tdS0  = -1374.08066983
optS1 = -1374.0898445
optR1 = -1374.08420143

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 A60    A(31,30,32)      118.5811      118.3774      118.3994
 A61    A(30,31,33)      120.6878      120.7171      120.7257
 A62    A(30,31,36)      119.7099      119.7519      119.7810
 A63    A(33,31,36)      119.5949      119.5297      119.4911
 A64    A(30,32,34)      120.6775      120.7104      120.7035
 A65    A(30,32,37)      119.8897      120.0534      120.0211
 A66    A(34,32,37)      119.4264      119.2341      119.2733
 A67    A(31,33,35)      120.2750      120.2613      120.2575
 A68    A(31,33,38)      119.6129      119.6771      119.6632
 A69    A(35,33,38)      120.1108      120.0615      120.0791
 A70    A(32,34,35)      120.2726      120.2601      120.2681
 A71    A(32,34,39)      119.5968      119.6415      119.6296
 A72    A(35,34,39)      120.1294      120.0983      120.1022
 A73    A(33,35,34)      119.5051      119.6737      119.6455
 A74    A(33,35,40)      120.2470      120.1673      120.1827
 A75    A(34,35,40)      120.2479      120.1590      120.1717
 A76    A(15,41,42)      120.5250      120.5051      121.0401
 A77    A(15,41,43)      120.8734      121.0992      120.5645
 A78    A(42,41,43)      118.6015      118.3956      118.3951
 A79    A(41,42,44)      120.6807      120.7018      120.7095
 A80    A(41,42,47)      119.6603      119.7260      120.0218
 A81    A(44,42,47)      119.6515      119.5703      119.2669
 A82    A(41,43,45)      120.6622      120.7063      120.7248
 A83    A(41,43,48)      119.8790      120.0201      119.7922
 A84    A(45,43,48)      119.4511      119.2715      119.4810
 A85    A(42,44,46)      120.2616      120.2614      120.2655
 A86    A(42,44,49)      119.6277      119.6845      119.6317
 A87    A(46,44,49)      120.1090      120.0540      120.1027
 A88    A(43,45,46)      120.2710      120.2513      120.2612
 A89    A(43,45,50)      119.6049      119.6499      119.6603
 A90    A(46,45,50)      120.1229      120.0987      120.0782
 A91    A(44,46,45)      119.5219      119.6837      119.6437
 A92    A(44,46,51)      120.2405      120.1640      120.1740
