optS0 = -912.193819765
tdS0 = -912.085111445
optS1 = -912.094905394
optR1 = -912.092008996

Name     Definition     optS0     optS1     optR1
 D21     D(2,3,5,6) -179.5374 -179.5791 -179.5232
 D22     D(2,3,5,7)   -0.3004   -0.2914    0.7709
 D23     D(4,3,5,6)   -0.0699    0.0745    0.6715
 D24     D(4,3,5,7)  179.1670  179.3622 -179.0343
 D25     D(3,5,7,8) -178.2974 -177.8538  176.5363
 D26     D(3,5,7,9)    0.4812    0.2050   -1.4457
 D27     D(6,5,7,8)    0.9210    1.4121   -3.1622
 D28     D(6,5,7,9)  179.6995  179.4709  178.8557
 D29     D(5,7,9,2)   -0.4980   -0.0572    1.6037
 D30    D(5,7,9,10) -176.4794 -175.7234  175.2478
 D31     D(8,7,9,2)  178.3142  178.0674 -176.4229
 D32    D(8,7,9,10)    2.3329    2.4012   -2.7788
 D33   D(2,9,10,18)   -1.3537   -5.9187   36.0874
 D34   D(2,9,10,21)  179.2511  177.3359 -150.7451
 D35   D(7,9,10,18)  174.1794  169.2284 -136.9173
 D36   D(7,9,10,21)   -5.2157   -7.5170   36.2502
 D37  D(9,10,18,11)   -0.3783    4.0152  -36.1639
 D38  D(9,10,18,16)  178.5447 -175.3112  136.8969
 D39 D(21,10,18,11)  179.0149 -179.2872  150.6632
 D40 D(21,10,18,16)   -2.0621    1.3863  -36.2761
 D41  D(9,10,21,22)  -52.4870  -48.9418    5.3059
 D42  D(9,10,21,29)  127.3045  130.4511 -177.9963
 D43 D(18,10,21,22)  128.1209  134.4541  177.5942
 D44 D(18,10,21,29)  -52.0877  -46.1530   -5.7080
 D45  D(1,11,12,13)   -5.7611   -7.8694   -2.6697
 D46  D(1,11,12,14)  173.6212  171.0648  177.1449
 D47 D(18,11,12,13) -179.4118 -179.3114  179.9013
 D48 D(18,11,12,14)   -0.0296   -0.3773   -0.2841
 D49  D(1,11,18,10)    5.9465    9.9467   -1.7871
 D50  D(1,11,18,16) -173.2005 -170.5840 -176.4402
 D51 D(12,11,18,10)  179.5742 -178.7207  175.8441
 D52 D(12,11,18,16)    0.4272    0.7485    1.1911
 D53 D(11,12,14,15) -179.9957 -179.6960  179.5397
 D54 D(11,12,14,16)   -0.3853   -0.1514   -0.7561
 D55 D(13,12,14,15)   -0.6816   -0.8792   -0.6674
 D56 D(13,12,14,16)  178.9288  178.6655  179.0368
 D57 D(12,14,16,17) -178.8272 -179.0343 -176.5395
 D58 D(12,14,16,18)    0.6309    0.6039    1.4593
 D59 D(15,14,16,17)    0.7739    0.4971    3.1573
 D60 D(15,14,16,18) -179.7680 -179.8646 -178.8439
 D61 D(14,16,18,10) -179.6912  178.5619 -175.3365
 D62 D(14,16,18,11)   -0.6611   -0.8336   -1.6396
 D63 D(17,16,18,10)   -0.2190   -1.7903    2.7069
 D64 D(17,16,18,11)  178.8111  178.8142  176.4039
 D65 D(10,21,22,23)   -1.3417   -1.5822    1.2397
 D66 D(10,21,22,24) -179.7800  179.7780  179.4064
 D67 D(29,21,22,23)  178.8649  179.0096 -175.5809
 D68 D(29,21,22,24)    0.4267    0.3698    2.5858
 D69 D(10,21,29,27) -179.5158 -179.6793 -179.4046
 D70 D(10,21,29,30)   -1.2429   -1.6357   -1.2899
 D71 D(22,21,29,27)    0.2771   -0.2767   -2.5826
 D72 D(22,21,29,30)  178.5500  177.7668  175.5322
 D73 D(21,22,24,25)  179.1540  179.3846 -179.9830
 D74 D(21,22,24,26)   -0.7251   -0.1873   -0.6187
 D75 D(23,22,24,25)    0.7259    0.7520   -1.7983
 D76 D(23,22,24,26) -179.1532 -178.8200  177.5660
 D77 D(22,24,26,27)    0.3181   -0.0945   -1.4352
 D78 D(22,24,26,31) -179.6364 -179.9690  179.8591
 D79 D(25,24,26,27) -179.5603 -179.6642  177.9244
 D80 D(25,24,26,31)    0.4851    0.4614   -0.7814
 D81 D(24,26,27,28) -179.4314 -179.2129 -177.9060
 D82 D(24,26,27,29)    0.3878    0.1873    1.4385
 D83 D(31,26,27,28)    0.5232    0.6615    0.7998
 D84 D(31,26,27,29) -179.6576 -179.9382 -179.8557
 D85 D(26,27,29,21)   -0.6846    0.0010    0.6119
 D86 D(26,27,29,30) -178.9471 -178.0387 -177.5206
 D87 D(28,27,29,21)  179.1356  179.4046  179.9613
 D88 D(28,27,29,30)    0.8732    1.3650    1.8288
