optS0 = -912.194221551
tdS0 = -912.086104297
optS1 = -912.095778559
optR1 = -912.092702665

Name     Definition     optS0     optS1     optR1
 D21     D(2,3,5,6) -179.5422 -179.5758 -179.5656
 D22     D(2,3,5,7)   -0.3012   -0.2859    0.7541
 D23     D(4,3,5,6)   -0.0750    0.0753    0.6302
 D24     D(4,3,5,7)  179.1660  179.3651 -179.0501
 D25     D(3,5,7,8) -178.3060 -177.8843  176.5126
 D26     D(3,5,7,9)    0.4830    0.2016   -1.4289
 D27     D(6,5,7,8)    0.9165    1.3837   -3.1597
 D28     D(6,5,7,9)  179.7055  179.4696  178.8988
 D29     D(5,7,9,2)   -0.5002   -0.0568    1.5924
 D30    D(5,7,9,10) -176.4985 -175.7773  175.2824
 D31     D(8,7,9,2)  178.3220  178.0939 -176.3938
 D32    D(8,7,9,10)    2.3237    2.3734   -2.7038
 D33   D(2,9,10,18)   -1.3521   -5.8180   35.9177
 D34   D(2,9,10,21)  179.2455  177.3912 -150.8661
 D35   D(7,9,10,18)  174.1998  169.3898 -137.1363
 D36   D(7,9,10,21)   -5.2026   -7.4010   36.0799
 D37  D(9,10,18,11)   -0.3871    3.9392  -35.9941
 D38  D(9,10,18,16)  178.5156 -175.4219  137.1145
 D39 D(21,10,18,11)  179.0134 -179.3162  150.7838
 D40 D(21,10,18,16)   -2.0840    1.3228  -36.1076
 D41  D(9,10,21,22)  -52.4237  -49.0184    5.2801
 D42  D(9,10,21,29)  127.3690  130.3816 -178.0670
 D43 D(18,10,21,22)  128.1769  134.3289  177.6302
 D44 D(18,10,21,29)  -52.0303  -46.2711   -5.7169
 D45  D(1,11,12,13)   -5.7435   -7.7991   -2.5781
 D46  D(1,11,12,14)  173.6406  171.1591  177.2367
 D47 D(18,11,12,13) -179.4136 -179.3275  179.8923
 D48 D(18,11,12,14)   -0.0294   -0.3693   -0.2929
 D49  D(1,11,18,10)    5.9093    9.8197   -1.8427
 D50  D(1,11,18,16) -173.2216 -170.6839 -176.5336
 D51 D(12,11,18,10)  179.5578 -178.7588  175.8807
 D52 D(12,11,18,16)    0.4269    0.7377    1.1898
 D53 D(11,12,14,15) -179.9978 -179.7155  179.5820
 D54 D(11,12,14,16)   -0.3853   -0.1535   -0.7410
 D55 D(13,12,14,15)   -0.6814   -0.8714   -0.6248
 D56 D(13,12,14,16)  178.9311  178.6906  179.0522
 D57 D(12,14,16,17) -178.8311 -179.0533 -176.5178
 D58 D(12,14,16,18)    0.6307    0.5993    1.4440
 D59 D(15,14,16,17)    0.7722    0.4959    3.1512
 D60 D(15,14,16,18) -179.7660 -179.8514 -178.8870
 D61 D(14,16,18,10) -179.6726  178.6024 -175.3708
 D62 D(14,16,18,11)   -0.6608   -0.8243   -1.6292
 D63 D(17,16,18,10)   -0.1969   -1.7358    2.6357
 D64 D(17,16,18,11)  178.8150  178.8375  176.3773
 D65 D(10,21,22,23)   -1.3460   -1.5701    1.2117
 D66 D(10,21,22,24) -179.7789  179.7731  179.3774
 D67 D(29,21,22,23)  178.8593  179.0148 -175.5660
 D68 D(29,21,22,24)    0.4263    0.3581    2.5997
 D69 D(10,21,29,27) -179.5146 -179.6835 -179.3762
 D70 D(10,21,29,30)   -1.2462   -1.6129   -1.2655
 D71 D(22,21,29,27)    0.2797   -0.2740   -2.5967
 D72 D(22,21,29,30)  178.5481  177.7966  175.5140
 D73 D(21,22,24,25)  179.1542  179.3984 -179.9927
 D74 D(21,22,24,26)   -0.7270   -0.1765   -0.6243
 D75 D(23,22,24,25)    0.7311    0.7486   -1.8081
 D76 D(23,22,24,26) -179.1500 -178.8264  177.5604
 D77 D(22,24,26,27)    0.3199   -0.0954   -1.4385
 D78 D(22,24,26,31) -179.6350 -179.9721  179.8548
 D79 D(25,24,26,27) -179.5606 -179.6680  177.9252
 D80 D(25,24,26,31)    0.4845    0.4553   -0.7815
 D81 D(24,26,27,28) -179.4330 -179.2253 -177.9062
 D82 D(24,26,27,29)    0.3884    0.1793    1.4416
 D83 D(31,26,27,28)    0.5219    0.6514    0.8005
 D84 D(31,26,27,29) -179.6567 -179.9440 -179.8517
 D85 D(26,27,29,21)   -0.6873    0.0080    0.6179
 D86 D(26,27,29,30) -178.9455 -178.0589 -177.5114
 D87 D(28,27,29,21)  179.1351  179.4160  179.9707
 D88 D(28,27,29,30)    0.8769    1.3490    1.8413
