optS0 = -912.192588687
tdS0  = -912.084443003
optS1 = -912.092254805
optR1 = -912.089908472

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D21     D(2,3,5,6)     -179.5219     -179.5928     -179.3976
 D22     D(2,3,5,7)       -0.2979       -0.3093        0.8177
 D23     D(4,3,5,6)       -0.0536        0.0732        0.7972
 D24     D(4,3,5,7)      179.1703      179.3567     -178.9875
 D25     D(3,5,7,8)     -178.2694     -177.7606      176.6072
 D26     D(3,5,7,9)        0.4754        0.2149       -1.4941
 D27     D(6,5,7,8)        0.9356        1.5015       -3.1722
 D28     D(6,5,7,9)      179.6805      179.4769      178.7265
 D29     D(5,7,9,2)       -0.4913       -0.0563        1.6378
 D30    D(5,7,9,10)     -176.4141     -175.5497      175.1363
 D31     D(8,7,9,2)      178.2888      177.9878     -176.5078
 D32    D(8,7,9,10)        2.3659        2.4944       -3.0092
 D33   D(2,9,10,18)       -1.3619       -6.2424       36.5993
 D34   D(2,9,10,21)      179.2677      177.1589     -150.3849
 D35   D(7,9,10,18)      174.1066      168.7113     -136.2489
 D36   D(7,9,10,21)       -5.2638       -7.8874       36.7670
 D37  D(9,10,18,11)       -0.3507        4.2664      -36.6976
 D38  D(9,10,18,16)      178.6416     -174.9450      136.2068
 D39 D(21,10,18,11)      179.0176     -179.1881      150.2822
 D40 D(21,10,18,16)       -1.9901        1.6005      -36.8135
 D41  D(9,10,21,22)      -52.6733      -48.7172        5.4002
 D42  D(9,10,21,29)      127.1133      130.6549     -177.7638
 D43 D(18,10,21,22)      127.9591      134.8356      177.4960
 D44 D(18,10,21,29)      -52.2542      -45.7923       -5.6679
 D45  D(1,11,12,13)       -5.8295       -8.0910       -2.9731
 D46  D(1,11,12,14)      173.5466      170.7666      176.8383
 D47 D(18,11,12,13)     -179.4063     -179.2614      179.9357
 D48 D(18,11,12,14)       -0.0302       -0.4037       -0.2529
 D49  D(1,11,18,10)        6.0815       10.3514       -1.5989
 D50  D(1,11,18,16)     -173.1204     -170.2696     -176.1283
 D51 D(12,11,18,10)      179.6306     -178.5950      175.7231
 D52 D(12,11,18,16)        0.4287        0.7840        1.1937
 D53 D(11,12,14,15)     -179.9902     -179.6334      179.4053
 D54 D(11,12,14,16)       -0.3858       -0.1438       -0.8082
 D55 D(13,12,14,15)       -0.6837       -0.9034       -0.8055
 D56 D(13,12,14,16)      178.9207      178.5862      178.9810
 D57 D(12,14,16,17)     -178.8154     -178.9774     -176.6050
 D58 D(12,14,16,18)        0.6321        0.6185        1.5108
 D59 D(15,14,16,17)        0.7796        0.4978        3.1762
 D60 D(15,14,16,18)     -179.7730     -179.9063     -178.7080
 D61 D(14,16,18,10)     -179.7551      178.4284     -175.2250
 D62 D(14,16,18,11)       -0.6627       -0.8636       -1.6738
 D63 D(17,16,18,10)       -0.2931       -1.9652        2.9351
 D64 D(17,16,18,11)      178.7993      178.7428      176.4863
 D65 D(10,21,22,23)       -1.3293       -1.6166        1.3281
 D66 D(10,21,22,24)     -179.7833      179.7951      179.4962
 D67 D(29,21,22,23)      178.8820      178.9950     -175.6243
 D68 D(29,21,22,24)        0.4281        0.4067        2.5438
 D69 D(10,21,29,27)     -179.5194     -179.6692     -179.4931
 D70 D(10,21,29,30)       -1.2332       -1.7092       -1.3652
 D71 D(22,21,29,27)        0.2688       -0.2871       -2.5398
 D72 D(22,21,29,30)      178.5550      177.6729      175.5882
 D73 D(21,22,24,25)      179.1535      179.3423     -179.9533
 D74 D(21,22,24,26)       -0.7198       -0.2200       -0.6019
 D75 D(23,22,24,25)        0.7104        0.7621       -1.7699
 D76 D(23,22,24,26)     -179.1628     -178.8001      177.5815
 D77 D(22,24,26,27)        0.3127       -0.0935       -1.4251
 D78 D(22,24,26,31)     -179.6405     -179.9605      179.8707
 D79 D(25,24,26,27)     -179.5598     -179.6534      177.9216
 D80 D(25,24,26,31)        0.4869        0.4796       -0.7825
 D81 D(24,26,27,28)     -179.4260     -179.1741     -177.9065
 D82 D(24,26,27,29)        0.3863        0.2129        1.4292
 D83 D(31,26,27,28)        0.5273        0.6928        0.7977
 D84 D(31,26,27,29)     -179.6604     -179.9201     -179.8666
 D85 D(26,27,29,21)       -0.6763       -0.0197        0.5937
 D86 D(26,27,29,30)     -178.9512     -177.9751     -177.5494
 D87 D(28,27,29,21)      179.1370      179.3707      179.9341
 D88 D(28,27,29,30)        0.8621        1.4153        1.7910
