optS0 = -1116.64839179
tdS0 = -1116.54174888
optS1 = -1116.55225399
optR1 = -1116.55023103

Name     Definition    optS0    optS1    optR1
 D17     D(1,2,9,7) -3.13495  3.11653  3.08901
 D18    D(1,2,9,10) -0.05283 -0.10176  0.04714
 D19     D(3,2,9,7)  0.00480 -0.00102 -0.02204
 D20    D(3,2,9,10)  3.08693  3.06388 -3.06391
 D21     D(2,3,5,6) -3.13390 -3.13286 -3.13866
 D22     D(2,3,5,7) -0.00407 -0.00668  0.00935
 D23     D(4,3,5,6)  0.00103 -0.00080  0.00582
 D24     D(4,3,5,7)  3.13086  3.12538 -3.12936
 D25     D(3,5,7,8) -3.11454 -3.09723  3.07743
 D26     D(3,5,7,9)  0.00683  0.00581 -0.02248
 D27     D(6,5,7,8)  0.01500  0.02849 -0.05758
 D28     D(6,5,7,9)  3.13637  3.13153  3.12569
 D29     D(5,7,9,2) -0.00727 -0.00311  0.02748
 D30    D(5,7,9,10) -3.08122 -3.05856  3.05162
 D31     D(8,7,9,2)  3.11463  3.10098 -3.07323
 D32    D(8,7,9,10)  0.04067  0.04554 -0.04909
 D33   D(2,9,10,18) -0.01934 -0.11260  0.61428
 D34   D(2,9,10,21)  3.13335  3.08344 -2.63712
 D35   D(7,9,10,18)  3.04726  2.93261 -2.39808
 D36   D(7,9,10,21) -0.08324 -0.15454  0.63370
 D37  D(9,10,18,11) -0.00219  0.07259 -0.61574
 D38  D(9,10,18,16)  3.12729 -3.06563  2.39658
 D39 D(21,10,18,11)  3.12827 -3.12436  2.63550
 D40 D(21,10,18,16) -0.02543  0.02061 -0.63536
 D41  D(9,10,21,22) -0.95800 -0.80385  0.08553
 D42  D(9,10,21,29)  2.18015  2.32888 -3.11641
 D43 D(18,10,21,22)  2.19467  2.39453  3.10377
 D44 D(18,10,21,29) -0.95037 -0.75594 -0.09817
 D45  D(1,11,12,13) -0.09249 -0.15092 -0.04105
 D46  D(1,11,12,14)  3.04063  2.96878  3.09768
 D47 D(18,11,12,13) -3.13399 -3.12567  3.13579
 D48 D(18,11,12,14) -0.00087 -0.00597 -0.00867
 D49  D(1,11,18,10)  0.09762  0.18588 -0.04472
 D50  D(1,11,18,16) -3.03439 -2.95836 -3.08645
 D51 D(12,11,18,10)  3.13896 -3.12519  3.06438
 D52 D(12,11,18,16)  0.00695  0.01375  0.02266
 D53 D(11,12,14,15)  3.14103 -3.13531  3.13881
 D54 D(11,12,14,16) -0.00565 -0.00436 -0.00907
