optS0 = -1116.64839179
tdS0  = -1116.54174888
optS1 = -1116.55225399
optR1 = -1116.55023103

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D16     D(9,2,3,5)       -0.0285        0.2702        0.4648
 D17     D(1,2,9,7)     -179.6192      178.5636      176.9876
 D18    D(1,2,9,10)       -3.0261       -5.8306        2.7012
 D19     D(3,2,9,7)        0.2751       -0.0585       -1.2630
 D20    D(3,2,9,10)      176.8682      175.5473     -175.5494
 D21     D(2,3,5,6)     -179.5595     -179.4994     -179.8320
 D22     D(2,3,5,7)       -0.2332       -0.3825        0.5356
 D23     D(4,3,5,6)        0.0590       -0.0459        0.3334
 D24     D(4,3,5,7)      179.3853      179.0711     -179.2990
 D25     D(3,5,7,8)     -178.4503     -177.4583      176.3239
 D26     D(3,5,7,9)        0.3913        0.3323       -1.2883
 D27     D(6,5,7,8)        0.8593        1.6323       -3.2993
 D28     D(6,5,7,9)      179.7009      179.4229      179.0886
 D29     D(5,7,9,2)       -0.4165       -0.1780        1.5747
 D30    D(5,7,9,10)     -176.5414     -175.2421      174.8452
 D31     D(8,7,9,2)      178.4550      177.6735     -176.0830
 D32    D(8,7,9,10)        2.3301        2.6095       -2.8125
 D33   D(2,9,10,18)       -1.1079       -6.4517       35.1954
 D34   D(2,9,10,21)      179.5277      176.6683     -151.0960
 D35   D(7,9,10,18)      174.5954      168.0261     -137.4002
 D36   D(7,9,10,21)       -4.7690       -8.8540       36.3084
 D37  D(9,10,18,11)       -0.1255        4.1586      -35.2794
 D38  D(9,10,18,16)      179.1802     -175.6472      137.3144
 D39 D(21,10,18,11)      179.2370     -179.0132      151.0032
 D40 D(21,10,18,16)       -1.4573        1.1810      -36.4031
 D41  D(9,10,21,22)      -54.8890      -46.0573        4.8999
 D42  D(9,10,21,29)      124.9136      133.4342     -178.5575
 D43 D(18,10,21,22)      125.7452      137.1966      177.8328
 D44 D(18,10,21,29)      -54.4521      -43.3120       -5.6246
 D45  D(1,11,12,13)       -5.2991       -8.6481       -2.3519
 D46  D(1,11,12,14)      174.2155      170.0971      177.4844
 D47 D(18,11,12,13)     -179.5645     -179.0870      179.6672
 D48 D(18,11,12,14)       -0.0498       -0.3419       -0.4965
 D49  D(1,11,18,10)        5.5930       10.6517       -2.5623
 D50  D(1,11,18,16)     -173.8579     -169.5008     -176.8405
 D51 D(12,11,18,10)      179.8491     -179.0603      175.5763
 D52 D(12,11,18,16)        0.3983        0.7871        1.2981
 D53 D(11,12,14,15)      179.9676     -179.6399      179.8408
 D54 D(11,12,14,16)       -0.3237       -0.2494       -0.5198
 D55 D(13,12,14,15)       -0.5708       -1.0325       -0.3418
 D56 D(13,12,14,16)      179.1380      178.3580      179.2976
 D57 D(12,14,16,17)     -179.0062     -178.6307     -176.3337
 D58 D(12,14,16,18)        0.5532        0.7217        1.2942
 D59 D(15,14,16,17)        0.6955        0.7428        3.2967
 D60 D(15,14,16,18)     -179.7451     -179.9049     -179.0754
 D61 D(14,16,18,10)     -179.9677      178.8930     -174.8717
 D62 D(14,16,18,11)       -0.5944       -0.9323       -1.5995
 D63 D(17,16,18,10)       -0.3976       -1.7423        2.8026
 D64 D(17,16,18,11)      178.9757      178.4323      176.0748
 D65 D(10,21,22,23)       -1.1114       -1.8068        1.6263
 D66 D(10,21,22,24)     -179.8573     -179.9851      179.7634
 D67 D(29,21,22,23)      179.0856      178.6895     -175.0318
 D68 D(29,21,22,24)        0.3397        0.5112        3.1054
 D69 D(10,21,29,27)     -179.6280     -179.7686     -179.7463
 D70 D(10,21,29,30)       -1.0264       -2.2950       -1.6914
 D71 D(22,21,29,27)        0.1747       -0.2706       -3.0857
 D72 D(22,21,29,30)      178.7762      177.2030      174.9691
 D73 D(21,22,24,25)      179.3457      178.9806      179.9505
 D74 D(21,22,24,26)       -0.5236       -0.3258       -0.7074
 D75 D(23,22,24,25)        0.5986        0.7980       -1.8809
 D76 D(23,22,24,26)     -179.2707     -178.5084      177.4612
