optS0 = -1116.64879877
tdS0  = -1116.54289073
optS1 = -1116.55303255
optR1 = -1116.55087774

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D16     D(9,2,3,5)       -0.0287        0.2656        0.4700
 D17     D(1,2,9,7)     -179.5850      178.5875      177.0458
 D18    D(1,2,9,10)       -2.9730       -5.7642        2.7269
 D19     D(3,2,9,7)        0.2759       -0.0560       -1.2614
 D20    D(3,2,9,10)      176.8879      175.5924     -175.5802
 D21     D(2,3,5,6)     -179.5642     -179.4970     -179.8622
 D22     D(2,3,5,7)       -0.2336       -0.3776        0.5258
 D23     D(4,3,5,6)        0.0545       -0.0439        0.3054
 D24     D(4,3,5,7)      179.3851      179.0756     -179.3066
 D25     D(3,5,7,8)     -178.4592     -177.4800      176.3062
 D26     D(3,5,7,9)        0.3922        0.3292       -1.2779
 D27     D(6,5,7,8)        0.8548        1.6130       -3.2961
 D28     D(6,5,7,9)      179.7062      179.4221      179.1199
 D29     D(5,7,9,2)       -0.4175       -0.1775        1.5671
 D30    D(5,7,9,10)     -176.5641     -175.2886      174.8749
 D31     D(8,7,9,2)      178.4635      177.6921     -176.0623
 D32    D(8,7,9,10)        2.3170        2.5810       -2.7545
 D33   D(2,9,10,18)       -1.1029       -6.3493       35.0816
 D34   D(2,9,10,21)      179.5245      176.7308     -151.1601
 D35   D(7,9,10,18)      174.6243      168.1814     -137.5546
 D36   D(7,9,10,21)       -4.7483       -8.7385       36.2037
 D37  D(9,10,18,11)       -0.1320        4.0845      -35.1613
 D38  D(9,10,18,16)      179.1549     -175.7534      137.4697
 D39 D(21,10,18,11)      179.2387     -179.0458      151.0713
 D40 D(21,10,18,16)       -1.4743        1.1163      -36.2977
 D41  D(9,10,21,22)      -54.8669      -46.1291        4.8703
 D42  D(9,10,21,29)      124.9381      133.3681     -178.6233
 D43 D(18,10,21,22)      125.7593      137.0820      177.8637
 D44 D(18,10,21,29)      -54.4358      -43.4208       -5.6299
 D45  D(1,11,12,13)       -5.2689       -8.5747       -2.2882
 D46  D(1,11,12,14)      174.2484      170.1930      177.5471
 D47 D(18,11,12,13)     -179.5669     -179.1054      179.6622
 D48 D(18,11,12,14)       -0.0496       -0.3376       -0.5025
 D49  D(1,11,18,10)        5.5432       10.5263       -2.5969
 D50  D(1,11,18,16)     -173.8928     -169.6010     -176.9049
 D51 D(12,11,18,10)      179.8332     -179.0919      175.6047
 D52 D(12,11,18,16)        0.3972        0.7807        1.2968
 D53 D(11,12,14,15)      179.9664     -179.6556      179.8721
 D54 D(11,12,14,16)       -0.3229       -0.2500       -0.5090
 D55 D(13,12,14,15)       -0.5688       -1.0226       -0.3116
 D56 D(13,12,14,16)      179.1418      178.3830      179.3073
 D57 D(12,14,16,17)     -179.0103     -178.6446     -176.3188
 D58 D(12,14,16,18)        0.5518        0.7184        1.2831
 D59 D(15,14,16,17)        0.6934        0.7442        3.2905
 D60 D(15,14,16,18)     -179.7445     -179.8928     -179.1076
 D61 D(14,16,18,10)     -179.9492      178.9278     -174.8984
 D62 D(14,16,18,11)       -0.5929       -0.9265       -1.5917
 D63 D(17,16,18,10)       -0.3764       -1.6971        2.7498
 D64 D(17,16,18,11)      178.9799      178.4486      176.0564
 D65 D(10,21,22,23)       -1.1109       -1.7983        1.5968
 D66 D(10,21,22,24)     -179.8554     -179.9926      179.7349
 D67 D(29,21,22,23)      179.0839      178.6925     -175.0266
 D68 D(29,21,22,24)        0.3394        0.4982        3.1115
 D69 D(10,21,29,27)     -179.6290     -179.7720     -179.7181
 D70 D(10,21,29,30)       -1.0278       -2.2711       -1.6654
 D71 D(22,21,29,27)        0.1759       -0.2684       -3.0921
 D72 D(22,21,29,30)      178.7771      177.2325      174.9606
 D73 D(21,22,24,25)      179.3472      178.9948      179.9435
 D74 D(21,22,24,26)       -0.5241       -0.3132       -0.7123
 D75 D(23,22,24,25)        0.6012        0.7959       -1.8862
 D76 D(23,22,24,26)     -179.2701     -178.5121      177.4579
 D77 D(22,24,26,27)        0.2109       -0.1091       -1.8659
 D78 D(22,24,26,31)     -179.7526     -179.9037      179.6339
 D79 D(25,24,26,27)     -179.6625     -179.4285      177.4876
 D80 D(25,24,26,31)        0.3740        0.7769       -1.0126
 D81 D(24,26,27,28)     -179.5266     -178.8284     -177.4566
 D82 D(24,26,27,29)        0.2922        0.3324        1.8848
 D83 D(31,26,27,28)        0.4369        0.9663        1.0435
 D84 D(31,26,27,29)     -179.7444     -179.8729     -179.6152
 D85 D(24,26,31,32)        0.0733        1.3383       -0.9540
 D86 D(24,26,31,33)     -179.9057     -178.6640      179.0818
 D87 D(27,26,31,32)     -179.8917     -178.4635     -179.4950
 D88 D(27,26,31,33)        0.1293        1.5342        0.5408
 D89 D(26,27,29,21)       -0.4813       -0.1358        0.6742
 D90 D(26,27,29,30)     -179.0841     -177.6531     -177.4110
 D91 D(28,27,29,21)      179.3345      179.0112     -179.9940
 D92 D(28,27,29,30)        0.7317        1.4939        1.9208
