optS0 = -1116.64682931
tdS0 = -1116.54073697
optS1 = -1116.54929349
optR1 = -1116.54777509

Name     Definition    optS0    optS1    optR1
 D17     D(1,2,9,7) -3.13759  3.11486  3.08503
 D18    D(1,2,9,10) -0.05690 -0.10640  0.04542
 D19     D(3,2,9,7)  0.00474 -0.00122 -0.02214
 D20    D(3,2,9,10)  3.08543  3.06071 -3.06175
 D21     D(2,3,5,6) -3.13356 -3.13311 -3.13664
 D22     D(2,3,5,7) -0.00404 -0.00704  0.01002
 D23     D(4,3,5,6)  0.00137 -0.00097  0.00772
 D24     D(4,3,5,7)  3.13090  3.12510 -3.12880
 D25     D(3,5,7,8) -3.11391 -3.09579  3.07858
 D26     D(3,5,7,9)  0.00676  0.00603 -0.02319
 D27     D(6,5,7,8)  0.01532  0.02983 -0.05781
 D28     D(6,5,7,9)  3.13598  3.13165  3.12359
 D29     D(5,7,9,2) -0.00719 -0.00314  0.02799
 D30    D(5,7,9,10) -3.07951 -3.05530  3.04953
 D31     D(8,7,9,2)  3.11403  3.09978 -3.07459
 D32    D(8,7,9,10)  0.04171  0.04762 -0.05305
 D33   D(2,9,10,18) -0.01975 -0.11980  0.62195
 D34   D(2,9,10,21)  3.13356  3.07900 -2.63285
 D35   D(7,9,10,18)  3.04504  2.92171 -2.38759
 D36   D(7,9,10,21) -0.08483 -0.16266  0.64080
 D37  D(9,10,18,11) -0.00170  0.07792 -0.62366
 D38  D(9,10,18,16)  3.12925 -3.05800  2.38604
 D39 D(21,10,18,11)  3.12814 -3.12191  2.63100
 D40 D(21,10,18,16) -0.02410  0.02536 -0.64248
 D41  D(9,10,21,22) -0.95947 -0.79916  0.08759
 D42  D(9,10,21,29)  2.17850  2.33321 -3.11191
 D43 D(18,10,21,22)  2.19381  2.40220  3.10169
 D44 D(18,10,21,29) -0.95140 -0.74862 -0.09781
 D45  D(1,11,12,13) -0.09490 -0.15581 -0.04534
 D46  D(1,11,12,14)  3.03804  2.96234  3.09344
 D47 D(18,11,12,13) -3.13382 -3.12446  3.13615
 D48 D(18,11,12,14) -0.00089 -0.00631 -0.00825
 D49  D(1,11,18,10)  0.10152  0.19441 -0.04247
 D50  D(1,11,18,16) -3.03166 -2.95163 -3.08210
 D51 D(12,11,18,10)  3.14021 -3.12287  3.06237
 D52 D(12,11,18,16)  0.00703  0.01427  0.02273
 D53 D(11,12,14,15)  3.14107 -3.13421  3.13671
 D54 D(11,12,14,16) -0.00571 -0.00433 -0.00981
 D55 D(13,12,14,15) -0.01013 -0.01867 -0.00802
 D56 D(13,12,14,16)  3.12627  3.11121  3.12865
 D57 D(12,14,16,17) -3.12400 -3.11673 -3.07859
 D58 D(12,14,16,18)  0.00976  0.01290  0.02334
 D59 D(15,14,16,17)  0.01228  0.01283  0.05795
 D60 D(15,14,16,18) -3.13715 -3.14072 -3.12330
 D61 D(14,16,18,10)  3.14071  3.11971 -3.05018
 D62 D(14,16,18,11) -0.01049 -0.01678 -0.02844
 D63 D(17,16,18,10) -0.00852 -0.03362  0.05257
 D64 D(17,16,18,11)  3.12346  3.11307  3.07431
 D65 D(10,21,22,23) -0.01944 -0.03204  0.03038
 D66 D(10,21,22,24) -3.13925 -3.14076  3.13940
 D67 D(29,21,22,23)  3.12577  3.11855 -3.05523
 D68 D(29,21,22,24)  0.00596  0.00983  0.05379
 D69 D(10,21,29,27) -3.13500 -3.13741 -3.13908
 D70 D(10,21,29,30) -0.01781 -0.04176 -0.03128
 D71 D(22,21,29,27)  0.00297 -0.00493 -0.05344
 D72 D(22,21,29,30)  3.12016  3.09073  3.05436
 D73 D(21,22,24,25)  3.13008  3.12285  3.14119
 D74 D(21,22,24,26) -0.00912 -0.00652 -0.01202
 D75 D(23,22,24,25)  0.01026  0.01407 -0.03248
 D76 D(23,22,24,26) -3.12893 -3.11530  3.09750
 D77 D(22,24,26,27)  0.00365 -0.00182 -0.03286
 D78 D(22,24,26,31) -3.13723 -3.13955  3.13487
 D79 D(25,24,26,27) -3.13559 -3.13141  3.09731
 D80 D(25,24,26,31)  0.00672  0.01404 -0.01815
 D81 D(24,26,27,28) -3.13313 -3.12017 -3.09685
 D82 D(24,26,27,29)  0.00507  0.00658  0.03320
 D83 D(31,26,27,28)  0.00774  0.01757  0.01860
 D84 D(31,26,27,29) -3.13724 -3.13887 -3.13454
 D85 D(24,26,31,32)  0.00260  0.02327 -0.01671
 D86 D(24,26,31,33) -3.13869 -3.11838  3.12569
 D87 D(27,26,31,32) -3.13831 -3.11459 -3.13288
 D88 D(27,26,31,33)  0.00359  0.02694  0.00952
 D89 D(26,27,29,21) -0.00830 -0.00306  0.01134
 D90 D(26,27,29,30) -3.12550 -3.09899 -3.09697
 D91 D(28,27,29,21)  3.12984  3.12343  3.14120
 D92 D(28,27,29,30)  0.01264  0.02749  0.03289
