optS0 = -1116.64682931
tdS0 = -1116.54073697
optS1 = -1116.54929349
optR1 = -1116.54777509

Name     Definition     optS0     optS1     optR1
 D17     D(1,2,9,7) -179.7709  178.4679  176.7592
 D18    D(1,2,9,10)   -3.2601   -6.0968    2.6024
 D19     D(3,2,9,7)    0.2715   -0.0698   -1.2689
 D20    D(3,2,9,10)  176.7823  175.3656 -175.4257
 D21     D(2,3,5,6) -179.5399 -179.5142 -179.7162
 D22     D(2,3,5,7)   -0.2313   -0.4034    0.5742
 D23     D(4,3,5,6)    0.0785   -0.0556    0.4422
 D24     D(4,3,5,7)  179.3871  179.0552 -179.2674
 D25     D(3,5,7,8) -178.4140 -177.3754  176.3899
 D26     D(3,5,7,9)    0.3872    0.3457   -1.3288
 D27     D(6,5,7,8)    0.8775    1.7092   -3.3125
 D28     D(6,5,7,9)  179.6787  179.4303  178.9687
 D29     D(5,7,9,2)   -0.4117   -0.1798    1.6039
 D30    D(5,7,9,10) -176.4428 -175.0554  174.7254
 D31     D(8,7,9,2)  178.4207  177.6043 -176.1609
 D32    D(8,7,9,10)    2.3896    2.7287   -3.0394
 D33   D(2,9,10,18)   -1.1315   -6.8640   35.6350
 D34   D(2,9,10,21)  179.5397  176.4142 -150.8511
 D35   D(7,9,10,18)  174.4679  167.4020 -136.7988
 D36   D(7,9,10,21)   -4.8608   -9.3199   36.7151
 D37  D(9,10,18,11)   -0.0972    4.4643  -35.7332
 D38  D(9,10,18,16)  179.2930 -175.2107  136.7099
 D39 D(21,10,18,11)  179.2294 -178.8725  150.7450
 D40 D(21,10,18,16)   -1.3805    1.4526  -36.8119
 D41  D(9,10,21,22)  -54.9730  -45.7882    5.0182
 D42  D(9,10,21,29)  124.8195  133.6828 -178.2995
 D43 D(18,10,21,22)  125.6967  137.6360  177.7137
 D44 D(18,10,21,29)  -54.5107  -42.8930   -5.6041
 D45  D(1,11,12,13)   -5.4373   -8.9279   -2.5982
 D46  D(1,11,12,14)  174.0666  169.7292  177.2410
 D47 D(18,11,12,13) -179.5547 -179.0185  179.6883
 D48 D(18,11,12,14)   -0.0508   -0.3614   -0.4725
 D49  D(1,11,18,10)    5.8168   11.1398   -2.4330
 D50  D(1,11,18,16) -173.7009 -169.1154 -176.5911
 D51 D(12,11,18,10)  179.9207 -178.9273  175.4606
 D52 D(12,11,18,16)    0.4030    0.8175    1.3025
 D53 D(11,12,14,15)  179.9703 -179.5772  179.7204
 D54 D(11,12,14,16)   -0.3270   -0.2481   -0.5621
 D55 D(13,12,14,15)   -0.5805   -1.0698   -0.4593
 D56 D(13,12,14,16)  179.1222  178.2594  179.2583
 D57 D(12,14,16,17) -178.9918 -178.5754 -176.3903
 D58 D(12,14,16,18)    0.5592    0.7393    1.3373
 D59 D(15,14,16,17)    0.7037    0.7353    3.3203
 D60 D(15,14,16,18) -179.7453 -179.9499 -178.9520
 D61 D(14,16,18,10)  179.9494  178.7464 -174.7624
 D62 D(14,16,18,11)   -0.6011   -0.9613   -1.6294
 D63 D(17,16,18,10)   -0.4886   -1.9263    3.0120
 D64 D(17,16,18,11)  178.9609  178.3661  176.1450
 D65 D(10,21,22,23)   -1.1138   -1.8359    1.7404
 D66 D(10,21,22,24) -179.8657 -179.9525  179.8740
 D67 D(29,21,22,23)  179.0932  178.6798 -175.0518
 D68 D(29,21,22,24)    0.3413    0.5632    3.0818
 D69 D(10,21,29,27) -179.6227 -179.7602 -179.8557
 D70 D(10,21,29,30)   -1.0206   -2.3925   -1.7921
 D71 D(22,21,29,27)    0.1699   -0.2822   -3.0617
 D72 D(22,21,29,30)  178.7720  177.0855  175.0019
 D73 D(21,22,24,25)  179.3402  178.9260  179.9769
 D74 D(21,22,24,26)   -0.5222   -0.3739   -0.6887
 D75 D(23,22,24,25)    0.5882    0.8062   -1.8607
 D76 D(23,22,24,26) -179.2743 -178.4937  177.4737
 D77 D(22,24,26,27)    0.2087   -0.1041   -1.8826
 D78 D(22,24,26,31) -179.7503 -179.8829  179.6151
 D79 D(25,24,26,27) -179.6561 -179.4164  177.4626
 D80 D(25,24,26,31)    0.3848    0.8048   -1.0398
 D81 D(24,26,27,28) -179.5153 -178.7723 -177.4366
 D82 D(24,26,27,29)    0.2903    0.3772    1.9020
 D83 D(31,26,27,28)    0.4437    1.0065    1.0656
 D84 D(31,26,27,29) -179.7507 -179.8439 -179.5958
 D85 D(24,26,31,32)    0.1515    1.3333   -0.9578
 D86 D(24,26,31,33) -179.8306 -178.6700  179.0884
 D87 D(27,26,31,32) -179.8093 -178.4531 -179.5013
 D88 D(27,26,31,33)    0.2086    1.5436    0.5448
 D89 D(26,27,29,21)   -0.4754   -0.1754    0.6494
 D90 D(26,27,29,30) -179.0780 -177.5591 -177.4433
 D91 D(28,27,29,21)  179.3267  178.9590  179.9773
 D92 D(28,27,29,30)    0.7241    1.5753    1.8845
